"date","degree","major","school","perfil_id"
"2016 – 2016","Nome do diploma
Executive Education, Innovation & Entrepreneurship","","Stanford University",0
"2007 – 2010","Nome do diploma
Economics","Área de estudo
Economics","Universidade Federal de Minas Gerais",0
"2015 – 2015","Nome do diploma
Master of Business Administration (MBA)","Área de estudo
Gestão de Negócios","Centro Universitário Newton Paiva",1
"2009 – 2012","Nome do diploma
Bacharel em Design de Ambientes","Área de estudo
Design de Interiores","Universidade do Estado de Minas Gerais",1
"2016 – 2019","Nome do diploma
Bachelor’s Degree","Área de estudo
Computer Technology/Computer Systems Technology","Universidade Federal de Minas Gerais",2
"2013 – 2015","Nome do diploma
Technician","Área de estudo
Informatics, COLTEC","Universidade Federal de Minas Gerais",2
"2014 – 2019","Nome do diploma
Engenharia de Produção Civil","","Centro Federal de Educação Tecnológica de Minas Gerais",3
"2011 – 2016","Nome do diploma
Bachelor of Science (B.S.)","Área de estudo
Chemical Engineering","Universidade Federal de Minas Gerais",4
"2015 – 2015","Nome do diploma
Bachelor of Science (B.S.)","Área de estudo
Chemical Engineering","California State University-Long Beach",4
"2011 – 2011","Nome do diploma
Pós Graduação em Gestão Estratégica de Negócios","Área de estudo
Economia e Gestão Empresarial","Universidade FUMEC",5
"2006 – 2009","Nome do diploma
Bacharel em Publicidade e Propaganda","Área de estudo
Publicidade","Uni-BH",5
"1992 – 1998","Nome do diploma
Master's Degree","Área de estudo
Information Retrieval","Universidade Federal de Minas Gerais",6
"2016 – 2019","Nome do diploma
Cursando administração","Área de estudo
Administração de Empresas","FEAD",7
"2016 – 2016","","Área de estudo
Innovation & Entrepreneurship","Stanford University",8
"2007 – 2009","","Área de estudo
Economia","UFMG - Universidade Federal de Minas Gerais",8
"2007 – 2009","","Área de estudo
Direito","Universidade FUMEC",8
"2013 – 2013","Nome do diploma
Master of Business Administration (MBA)","Área de estudo
Gestão Estratégica de Negócios","Centro Universitário de Belo Horizonte",9
"2008 – 2012","Nome do diploma
Bacharel","Área de estudo
Ciências Atuariais","Pontifícia Universidade Católica de Minas Gerais",9
"2008 – 2018","Nome do diploma
Bacharelado em Engenharia","Área de estudo
Engenharia Mecânica","Pontifícia Universidade Católica de Minas Gerais",10
"2005 – 2007","Nome do diploma
Técnico","Área de estudo
Informática Gerencial","COTEMIG",10
"2013 – 2017","Nome do diploma
Comunicação Social - Publicidade e Propaganda","Área de estudo
Comunicação Aplicada","Universidade Federal de Minas Gerais",11
"2002 – 2012","Nome do diploma
Ensino Médio","","Colégio Santo Agostinho",11
"2013 – 2018","Nome do diploma
Graduação em Engenharia","Área de estudo
Management Engineering","Universidade Federal de Minas Gerais",12
"2002 – 2012","","","Colégio Santo Antônio",12
