"endorsement_count","name","perfil_id"
"+ de 99","Empresas startups",0
"","",0
"","",0
"+ de 99","Empreendedorismo",0
"","",0
"","",0
"97","Start-ups",0
"","",0
"","",0
"73","Entrepreneurship",0
"75","New Business Development",0
"67","Affiliate Marketing",0
"67","Startup Development",0
"64","Online Advertising",0
"71","Business Strategy",0
"68","Comércio eletrônico",0
"28","Growth Hacking",0
"40","Affiliate Networks",0
"36","SEO",0
"42","Online Lead Generation",0
"44","Business Intelligence",0
"28","Stock Market Analysis",0
"31","Trade Finance",0
"37","Finance",0
"31","Public Speaking",0
"37","Google Analytics",0
"22","Adobe Fireworks",0
"24","Google Webmaster Tools",0
"37","Desenvolvimento de novos negócios",0
"49","Marketing afiliado",0
"65","Publicidade online",0
"36","Marketing digital",0
"34","Marketing online",0
"25","Marketing",0
"22","Planejamento estratégico",0
"25","SEO (Otimização de motores de busca)",0
"22","Gestão",0
"31","Estratégias de marketing",0
"72","Estratégia empresarial",0
"45","Planejamento estratégico",1
"","",1
"","",1
"36","Gestão",1
"","",1
"34","Gestão de projetos",1
"","",1
"24","Liderança de equipe",1
"21","Estratégia empresarial",1
"18","Empreendedorismo",1
"15","Empresas startups",1
"12","Strategic Planning",1
"10","Design de interiores",1
"10","Start-ups",1
"10","Planejamento empresarial",1
"8","Interior Design",1
"8","Business Innovation",1
"8","Sistemas operacionais",1
"6","Management",1
"6","Business Planning",1
"4","Pesquisa",1
"4","Estratégias de marketing",1
"4","Marketing Strategy",1
"4","Operating Systems",1
"4","Planejamento de projetos",1
"4","Entrepreneurship",1
"3","Team Leadership",1
"2","Research",1
"2","Project Planning",1
"","Desenvolvimento de produtos",1
"11","Innovation",1
"1","Interior Lighting",1
"8","JavaScript",2
"","",2
"","",2
"1","TypeScript",2
"","",2
"1","Angular",2
"","",2
"2","Node.js",2
"3","Git",2
"","AWS",2
"7","HTML5",2
"1","React.js",2
"1","Redux",2
"6","AngularJS",2
"6","SASS",2
"6","CSS",2
"5","JQuery",2
"3","Material Design",2
"4","Bootstrap",2
"3","Responsive Web Design",2
"3","HTML",2
"2","User Experience",2
"5","Web Development",2
"5","PHP",2
"2","WordPress",2
"2","OOP",2
"2","Scrum",2
"1","Databases",2
"2","UML",2
"3","MySQL",2
"2","MongoDB",2
"2","Linux",2
"2","Testing",2
"2","Jasmine Framework",2
"","Karma",2
"2","Google Analytics",2
"2","SEO",2
"2","Subversion",2
"2","AMP",2
"2","RequireJS",2
"2","Software Development",2
"2","SQL",2
"2","Socket.io",2
"2","Gulp.js",2
"2","GruntJS",2
"1","Ionic Framework",2
"1","Apache Cordova",2
"2","Algorithms",2
"1","PhoneGap",2
"","Mustache",2
"","Handlebars.js",2
"2","Net Promoter Score",3
"","",3
"3","SQL",3
"","",3
"1","Marketing digital",3
"","",3
"1","Planejamento estratégico",3
"1","Empreendedorismo",3
"1","Microsoft Office",3
"1","AutoCAD",3
"2","Engenharia",3
"2","Atendimento ao Cliente",3
"13","Microsoft Office",4
"","",4
"","",4
"13","English",4
"","",4
"","",4
"12","Public Speaking",4
"","",4
"11","Strategic Planning",4
"11","Project Management",4
"9","Microsoft Word",4
"9","Social Media",4
"8","PowerPoint",4
"8","Management",4
"8","Leadership",4
"1","Scilab",4
"10","Business Strategy",5
"","",5
"","",5
"9","Análise financeira",5
"","",5
"9","Estratégia empresarial",5
"","",5
"","",5
"9","Atendimento ao Cliente",5
"8","Serviços bancários",5
"8","Gestão de riscos",5
"7","Microsoft Office",5
"7","Planejamento empresarial",5
"7","Planejamento estratégico",5
"6","Project Management",5
"6","Strategic Planning",5
"5","Gestão de carteiras",5
"5","Liderança de equipe",5
"5","Liderança",5
"5","Marketing",5
"4","Marketing digital",5
"4","Estratégias de marketing",5
"3","Mercado de crédito",5
"3","Negociação",5
"3","Gestão de projetos",5
"2","Microsoft Excel",5
"2","Gestão",5
"","Marketing afiliado",5
"","Redes afiliadas",5
"","Marketing online",5
"","Experiência em marketing digital",5
"","WebTrends Analytics",5
"","Gestão comercial",5
"","Comércio eletrônico",5
"23","Software Engineering",6
"","",6
"","",6
"18","Software Development",6
"","",6
"","",6
"11","MapReduce",6
"","",6
"","",6
"10","Distributed Systems",6
"10","C++",6
"9","Algorithms",6
"8","Java",6
"8","Python",6
"7","Linux",6
"3","Scrum",6
"3","C",6
"3","Git",6
"2","Software Design",6
"2","Microsoft Office",6
"2","Unix",6
"1","Customer Service",6
"1","Computer Science",6
"1","Microsoft Word",6
"1","Subversion",6
"1","PowerPoint",6
"1","Scalability",6
"1","Microsoft Excel",6
"","Information Retrieval",6
"","Microsoft Office",7
"","",7
"","Microsoft Excel",7
"","",7
"","Microsoft Word",7
"","",7
"","Microsoft PowerPoint",7
"","Oratória",7
"80","Estratégia empresarial",8
"","",8
"","",8
"73","Empreendedorismo",8
"","",8
"","",8
"57","Business Strategy",8
"","",8
"","",8
"52","Comércio eletrônico",8
"50","E-commerce",8
"47","Publicidade online",8
"41","New Business Development",8
"41","Business Planning",8
"39","Marketing Strategy",8
"38","Online Advertising",8
"35","Estratégias de marketing",8
"28","Empresas startups",8
"27","Affiliate Marketing",8
"25","Affiliate Networks",8
"25","Online Lead Generation",8
"23","Entrepreneurship",8
"22","Business Intelligence",8
"22","Start-ups",8
"22","Planejamento empresarial",8
"20","Angel Investing",8
"19","Financial Analysis",8
"18","Commerce",8
"17","Start-up Environment",8
"17","Desenvolvimento de novos negócios",8
"17","Planejamento estratégico",8
"16","Business Valuation",8
"16","Startup Development",8
"16","Startup Marketing",8
"16","SEO (Otimização de motores de busca)",8
"15","Trade Finance",8
"15","Estratégia",8
"14","SEO",8
"14","Fusões e aquisições",8
"14","Marketing digital",8
"13","Stock Market Analysis",8
"13","Marketing online",8
"12","M&A experience",8
"12","Stock Exchange",8
"12","Análise financeira",8
"12","Digital Marketing",8
"12","Online Marketing",8
"11","Strategic Planning",8
"10","Capital de risco",8
"9","Business Development",8
"9","Mergers & Acquisitions",8
"8","Mergers",8
"8","Venture Capital",8
"15","Brazilian Laws",8
"12","Internet Entrepreneur",8
"12","Innovation",8
"21","Gestão de contas",9
"","",9
"17","Análise de dados",9
"","",9
"23","Comércio eletrônico",9
"","",9
"16","Marketing afiliado",9
"17","Google Analytics",9
"18","Marketing online",9
"20","Mídias sociais",9
"15","Marketing por e-mail",9
"9","Resolução de problemas",9
"13","E-commerce SEO",9
"9","Comunicações de marketing",9
"5","Banco de dados",9
"8","Negociação de contratos",9
"6","Implementação de pixel",9
"6","Soluções criativas",9
"7","Atendimento ao Cliente",9
"13","Microsoft Excel",9
"7","Afiliação",9
"14","Gestão",9
"4","Investimentos",9
"11","Microsoft Word",9
"15","Marketing social",9
"6","Desenvolvimento de novos negócios",9
"6","Social Media",9
"4","Revisão de texto",9
"2","Análise de riscos",9
"1","Satisfação do cliente",9
"","Seguros",9
"","Talento vocal",9
"","Edição de vídeo",9
"1","Edição de imagens",9
"","Edição de áudio",9
"4","Management",9
"3","Strategic Planning",9
"1","E-commerce",9
"1","Social Media Marketing",9
"4","Marketing Strategy",9
"4","Marketing",9
"2","Digital Marketing",9
"1","Customer Service",9
"1","Microsoft PowerPoint",9
"1","New Business Development",9
"","Gestão de pessoal",9
"3","Planejamento estratégico",9
"4","Estratégias de marketing",9
"3","Marketing digital",9
"2","Business Development",9
"10","Marketing digital",10
"","",10
"9","Inglês",10
"","",10
"9","Melhoria de processos empresariais",10
"","",10
"8","Seis Sigma",10
"8","Gestão",10
"8","Management",10
"7","E-commerce SEO",10
"6","JavaScript",10
"6","Melhoria de processos",10
"5","Gestão Lean",10
"5","Business Development",10
"3","MySQL",10
"3","Pensamento Lean",10
"3","Ferramentas lean",10
"2","PHP",10
"1","Planejamento estratégico",10
"1","Desenvolvimento empresarial",10
"1","Estratégia empresarial",10
"28","Publicidade",11
"","",11
"","",11
"29","Estratégias de marketing",11
"","",11
"","",11
"9","Affiliation",11
"","",11
"15","Marketing Communications",11
"13","Marketing digital",11
"25","Mídias sociais",11
"5","E-commerce SEO",11
"20","Relações públicas",11
"9","Estratégia digital",11
"12","Publicidade online",11
"3","Brand Development",11
"6","Marketing por e-mail",11
"24","Marketing",11
"5","Liderança",11
"4","Marketing direto",11
"3","Melhoria de processos",11
"4","Planejamento estratégico",11
"1","Digital Strategy",11
"8","Microsoft Excel",11
"8","Marketing Strategy",11
"1","E-commerce global",12
"","",12
"1","Sales Tracking",12
"","",12
"1","SQL",12
"","",12
"8","Engenharia de produção",12
"17","Gestão de projetos",12
"8","Gestão empresarial",12
"5","Gestão por indicadores",12
"3","Gerenciamento de processos",12
"9","Microsoft Excel",12
"9","Inglês",12
"10","Atendimento ao Cliente",13
"","",13
"13","Marketing",13
"","",13
"","",13
"6","Gestão",13
"","",13
"8","Liderança",13
"4","Oratória",13
"5","Planejamento de eventos",13
"7","Publicidade",13
"1","Gestão de projetos",13
"7","English",14
"","",14
"","",14
"6","Negotiation",14
"","",14
"","",14
"5","Team Leadership",14
"","",14
"4","Management",14
"4","Engineering",14
"4","Marketing Strategy",14
"3","Business Planning",14
"1","Project Management",14
"6","Microsoft Excel",16
"","",16
"6","English",16
"","",16
"4","Negotiation",16
"","",16
"4","Microsoft Office",16
"3","Portuguese",16
"3","Business Planning",16
"3","Team Leadership",16
"1","Strategic Planning",16
