"name","proficiency","perfil_id"
"Idioma
Espanhol","Nível avançado",0
"Idioma
Inglês","Fluente ou nativo",0
"Idioma
Português","Fluente ou nativo",0
"Idioma
Inglês","",1
"Idioma
Italiano","",1
"Idioma
English","Nível avançado",2
"Idioma
Portuguese","Fluente ou nativo",2
"Idioma
Espanhol","Nível básico a intermediário",3
"Idioma
Inglês","Nível avançado",3
"Idioma
Português","Fluente ou nativo",3
"Idioma
English","Fluente ou nativo",4
"Idioma
Portuguese","Fluente ou nativo",4
"Idioma
Spanish","Nível básico",4
"Idioma
Inglês","",5
"Idioma
Espanhol","Nível intermediário",8
"Idioma
Inglês","Nível avançado",8
"Idioma
Português","Fluente ou nativo",8
"Idioma
Espanhol","Nível avançado",9
"Idioma
Inglês","Nível avançado",9
"Idioma
Português","Fluente ou nativo",9
"Idioma
Inglês","Nível avançado",10
"Idioma
Português","Fluente ou nativo",10
"Idioma
Inglês","",11
"Idioma
Português","",11
"Idioma
Espanhol","Nível básico",12
"Idioma
Inglês","Nível avançado",12
"Idioma
Português","Fluente ou nativo",12
"Idioma
Espanhol","Nível básico a intermediário",13
"Idioma
Inglês","Nível intermediário",13
"Idioma
Português","Fluente ou nativo",13
"Idioma
English","Fluente ou nativo",14
"Idioma
Spanish","Nível básico a intermediário",14
"Idioma
Espanhol","Nível intermediário",15
"Idioma
Inglês","Nível avançado",15
"Idioma
Português","Fluente ou nativo",15
"Idioma
Espanhol","Nível básico a intermediário",16
"Idioma
Francês","Nível básico a intermediário",16
"Idioma
Inglês","Nível avançado",16
"Idioma
Português","Fluente ou nativo",16
"Idioma
English","Nível avançado",17
"Idioma
French","Nível básico",17
"Idioma
Portuguese","Fluente ou nativo",17
"Idioma
Espanhol","Nível intermediário",18
"Idioma
Francês","Nível básico a intermediário",18
"Idioma
Inglês","Nível avançado",18
"Idioma
Português","Fluente ou nativo",18
"Idioma
Inglês","Nível básico",19
"Idioma
Português","Fluente ou nativo",19
"Idioma
Espanhol","Nível básico",20
"Idioma
Inglês","Nível avançado",20
"Idioma
Inglês","",21
"Idioma
Português","Fluente ou nativo",21
"Idioma
Espanhol","Nível avançado",23
"Idioma
Inglês","Nível avançado",23
"Idioma
Português","Fluente ou nativo",23
"Idioma
Árabe","Nível básico",23
"Idioma
Inglês","Nível avançado",24
"Idioma
Italiano","Nível básico a intermediário",24
"Idioma
Português","Fluente ou nativo",24
"Idioma
English","Nível intermediário",25
"Idioma
Espanhol","Nível básico a intermediário",25
"Idioma
Português","Fluente ou nativo",25
"Idioma
Espanhol","Nível básico a intermediário",27
