;Administração;Agronegócio;Agronomia;Arquitetura e Urbanismo;Bioquímica;Ciência da Computação;Ciência e Tecnologia de Laticínios;Ciências Biológicas ;Ciências Contábeis;Ciências Econômicas;Ciências Sociais ;Comunicação Social ;Cooperativismo;Dança ;Direito;Economia Doméstica ;Educação Física ;Educação Infantil ;Educação do Campo ;Enfermagem;Engenharia Agrícola e Ambiental;Engenharia Ambiental;Engenharia Civil;Engenharia Elétrica;Engenharia Florestal;Engenharia Mecânica;Engenharia Química;Engenharia de Agrimensura e Cartográfica;Engenharia de Alimentos;Engenharia de Produção;Física ;Geografia ;História ;Letras ;Matemática ;Medicina;Medicina Veterinária;Nutrição;Pedagogia ;Química ;Secretariado Executivo Trilíngue;Serviço Social;Zootecnia
Administração;1.0;0.6189302980662862;0.5598826998711306;0.5268985220739953;0.5506685865205;0.6299138074442785;0.5294103505048089;0.5386495765239856;0.8347779124658619;0.6872166991908893;0.5257022988905501;0.5345654596548491;0.5804112627793755;0.5239836215857111;0.5498319105745266;0.5332820915078902;0.5296465010790959;0.5208248900352345;0.543273535087881;0.5300122705458447;0.556256816957225;0.5681703039348728;0.5835572899442528;0.5675429634330648;0.5510487987602394;0.5704320221712285;0.5571771871905139;0.5868929025796074;0.5807214412453977;0.6087251792973488;0.5498666812678253;0.5480848056065163;0.5201808303040556;0.5229566792844559;0.5693965326536423;0.5141075814197023;0.5271117862484617;0.5194785921299594;0.5175584536451313;0.5492779048119805;0.550955489301276;0.5241053106299782;0.5951793805231224
Agronegócio;0.6189302980662862;1.0;0.6133714545708897;0.5249676030206247;0.5411163655073897;0.597936258312838;0.5476156416156885;0.5351240437386745;0.6210717449219098;0.722329831226655;0.5221391712706932;0.5277659409643859;0.5926073642654607;0.5157709554612842;0.5279468701093059;0.5239785857686553;0.523683444312852;0.5139259068682237;0.5210227508463674;0.5231273856796805;0.6016054407707224;0.5693172112907698;0.5732035671157866;0.5646410517839995;0.5498608967489866;0.5713183783241708;0.5502816851170309;0.5815429603227507;0.570403577497463;0.6153160764638839;0.5330718478315938;0.5466387793638863;0.5172341749543263;0.5143985274481683;0.5672433779659012;0.5220001439808721;0.5386872368745776;0.5166019745648287;0.5120632456980582;0.5354688698769137;0.526303717301272;0.5091594480525756;0.6030905985862279
Agronomia;0.5598826998711306;0.6133714545708897;1.0;0.5213554147708107;0.684184402660506;0.5501766875673598;0.5715625636840107;0.7219713367866406;0.5496345240903424;0.5729780360526076;0.5191158868311644;0.5166952358762915;0.5387452379783951;0.5131403201085395;0.5230710625380709;0.5355376930889791;0.5175562717823403;0.5105625250833653;0.5453847269151546;0.5346381247569356;0.7084005584863559;0.6380060599457704;0.5928813234331547;0.5685091604228368;0.718012294410339;0.5769888968775889;0.5967724816059362;0.6066276471931434;0.6269798747567648;0.5802841702613595;0.5648502013426228;0.5573127577615419;0.5132974551239173;0.513708530688607;0.5466083113494906;0.5156082890082094;0.6046453796008321;0.5335008896086416;0.5096112952451426;0.6163890314688104;0.5155499480200518;0.5099206879066791;0.7427120174056363
Arquitetura e Urbanismo;0.5268985220739953;0.5249676030206247;0.5213554147708107;1.0;0.5174306078024348;0.5590554012488997;0.5389257436353366;0.5135547728030917;0.5304558983936485;0.5358338162952099;0.5657570778993963;0.5781338241742151;0.5533540855274878;0.5348341764294405;0.5366817600324659;0.5491126020931115;0.5392959131623212;0.5311720604704092;0.5163677901728271;0.5368117577141734;0.5226086576250402;0.5411488507972927;0.5898509356669838;0.538620180336517;0.5217241134960852;0.5397161239137116;0.5292822293484966;0.590306158836653;0.5245827430473747;0.5389415385405644;0.5165535605632071;0.5540869027727221;0.5913996315225717;0.5365730685406458;0.5209950860419063;0.5263780035951401;0.5196594279632287;0.5235230090511089;0.527593318041683;0.5180891968173588;0.542914667408968;0.5347809908314117;0.5110051343649379
Bioquímica;0.5506685865205;0.5411163655073897;0.684184402660506;0.5174306078024348;1.0;0.5746356856684023;0.5569029334500533;0.7175362296464319;0.5495108123518505;0.5547551147320646;0.5148027200170776;0.5194203403211278;0.5234170220964982;0.5209728303492518;0.5188882601833454;0.5303882359651408;0.5273416702325402;0.5172757703170979;0.5334980160611884;0.5526742743649469;0.6076188955375121;0.6388050243219802;0.6073670546100522;0.5917012085006571;0.63109244665924;0.5870076922558071;0.7390530861902348;0.5903001606902546;0.7031290070237787;0.6038747167715541;0.6431654718064723;0.5327252115472177;0.5153166055003148;0.5156933687246334;0.5691174055426861;0.5185481669480893;0.5796954576558176;0.5453178367648834;0.5110194707990761;0.7975773900507921;0.5141008378111516;0.5086222768144326;0.6425335911414529
Ciência da Computação;0.6299138074442785;0.597936258312838;0.5501766875673598;0.5590554012488997;0.5746356856684023;1.0;0.5279707362850319;0.5462651363468657;0.637065002302742;0.6368844488782921;0.531012305374189;0.5458077351769265;0.5587556959938692;0.5307482997346179;0.5355896704688431;0.5267103319982817;0.5365525320367525;0.5196020034328881;0.5442404783336741;0.5363484450546361;0.5897847203269247;0.6284461029812458;0.6942407192853779;0.6841816341740602;0.5510307350653585;0.652519827652059;0.6049316104779444;0.6851341705398564;0.621038968657616;0.7216343921033997;0.6405084693406196;0.5428972980702651;0.5303828449247784;0.5309831296976646;0.6441098936131765;0.5195631238529018;0.5177274738740569;0.5169910854076468;0.5189995829868004;0.5947378891788143;0.534234622955985;0.5136908846063301;0.5573993814306382
Ciência e Tecnologia de Laticínios;0.5294103505048089;0.5476156416156885;0.5715625636840107;0.5389257436353366;0.5569029334500533;0.5279707362850319;1.0;0.5525273828804769;0.5286578543408569;0.5392582554267122;0.5608058506938223;0.5701063088070021;0.595397935492022;0.5245746965430665;0.544059899834956;0.6836881556598309;0.5406652237105515;0.53701162555206;0.523549140209816;0.5973741673356653;0.5374043274480262;0.539463562917801;0.5274784063055316;0.5245461972094683;0.5373031185339615;0.526410648853878;0.5249720117830377;0.5262274071127273;0.6481444649342969;0.547797165900454;0.5120182850404839;0.5134266321880561;0.5299499219945728;0.5355384802395717;0.5147296288918576;0.548535922346984;0.6458626432658524;0.6585600244975501;0.5266461286094961;0.541479079191996;0.5688879843564851;0.5429480072009611;0.5439409650319624
Ciências Biológicas ;0.5386495765239856;0.5351240437386745;0.7219713367866406;0.5135547728030917;0.7175362296464319;0.5462651363468657;0.5525273828804769;1.0;0.5379340258628109;0.5363043263807336;0.5153112685373595;0.5142329704674903;0.5202022136148419;0.5163196734961227;0.5178334348029334;0.5219295230181181;0.5234443763990891;0.5151215100742661;0.5483141884447454;0.5486326397424965;0.5851699196491514;0.5918705763078393;0.5675731232358695;0.55654896732276;0.6335054590451742;0.5600467894310408;0.5856368378614474;0.5617036423100603;0.6201459428034949;0.5532945072683997;0.5627832574467916;0.5429427511700663;0.510052098070969;0.5116373424818104;0.5424453824191192;0.5336270666003287;0.5864505565376761;0.5381686551472772;0.5104658623621269;0.607314528756012;0.5111359115941669;0.511596585669036;0.6481389667080995
Ciências Contábeis;0.8347779124658619;0.6210717449219098;0.5496345240903424;0.5304558983936485;0.5495108123518505;0.637065002302742;0.5286578543408569;0.5379340258628109;1.0;0.6765450383655173;0.5263749835808067;0.5355906174472279;0.5852085344935201;0.5229265426894654;0.5510909118450059;0.5239652198880737;0.528690498018147;0.5184130362496105;0.5472006880372008;0.5229172509606627;0.550344427533705;0.5636829539562376;0.5950679276067881;0.5715536963151904;0.5472345904944703;0.5761278099938996;0.5561685988131158;0.5899164518355389;0.5717954744611715;0.6065011518403663;0.5574209009024902;0.5395823580530303;0.5223464842348936;0.5258220312546484;0.5839328118592996;0.5139098882093335;0.52566559342316;0.5167108107008496;0.5170140360498438;0.5487717386298119;0.5571495564230912;0.5182477964939977;0.5728876709903542
Ciências Econômicas;0.6872166991908893;0.722329831226655;0.5729780360526076;0.5358338162952099;0.5547551147320646;0.6368844488782921;0.5392582554267122;0.5363043263807336;0.6765450383655173;1.0;0.5394745614600621;0.5558646919874404;0.5982664197857229;0.5294252738909792;0.5368537003832476;0.532709188651301;0.5367860610765661;0.5206410701748682;0.5491077497904949;0.5301103694330859;0.5733140348036452;0.584288947526332;0.6008988181935138;0.5946120259480498;0.5514257030945161;0.5887509970505331;0.5645077096709264;0.6016139416288708;0.5794396271631377;0.6327539567299009;0.5599853251664695;0.5960419380953603;0.5328503270300011;0.5299332004669801;0.6207976904788379;0.517695640446666;0.5342849202396054;0.5170450073216437;0.5186798425421341;0.5541633029605305;0.5394251844155737;0.5131388131455827;0.5803755828849406
