Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
30;"Universidade Estadual de Campinas (UNICAMP)";SP;Estadual;56;27.92;22;47.73;6;7.97;581;2.14;1;8;18;29.62
311;"Instituto de Educação Superior Unyahna Luis Eduardo Magalhães (IESULEM)";BA;Privada;;;145;16;1;8;;;1;8;;
317;"Instituto Federal de Educação, Ciência E Tecnologia de São Paulo (IFSP)";SP;Federal;;;154;15.84;31;7.84;;;1;8;;
324;"Faculdade Para O Desenvolvimento Sustentável do Nordeste (FADESNE)";CE;Privada;;;162;15.69;59;7.69;;;1;8;;
340;"Instituto Federal de Educação, Ciência E Tecnologia do Sul de Minas Gerais (IF SUL DE MINAS)";MG;Federal;;;184;15.41;111;7.41;;;1;8;;
375;"Universidade Federal do Amapá (UNIFAP)";AP;Federal;;;231;14.76;233;6.76;;;1;8;;
409;"Instituto Federal de Educação, Ciência E Tecnologia do Espírito Santo (IFES)";ES;Federal;;;269;14.11;355;6.11;;;1;8;;
411;"Faculdade Calafiori (CALAFIORI)";MG;Privada;;;272;14.07;363;6.07;;;1;8;;
460;"Faculdade de Jaraguá";GO;Privada;;;335;13.1;83;7.56;;;457;5.54;;
471;"Universidade Estadual do Paraná (UNESPAR)";PR;Estadual;;;351;12.97;569;4.97;;;1;8;;
478;"Escola Superior da Amazônia (ESAMAZ)";PA;Privada;;;359;12.9;806;3.71;878;1.19;1;8;;
582;"Facudade de Morrinhos (FAM)";GO;Privada;;;482;11.71;806;3.71;;;1;8;;
611;"Instituto Tecnológico de Caratinga (ITC)";MG;Privada;;;517;11.41;862;3.41;;;1;8;;
619;"Faculdade de Ciências e Tecnologias de Natal (FACITEN)";RN;Privada;;;527;11.34;166;7.12;;;701;4.22;;
690;"Faculdade Sudoeste Paulista-Itapetininga (FSP)";SP;Privada;;;616;10.56;355;6.11;;;659;4.45;;
717;"Faculdades Integradas Campo-Grandenses (FIC)";RJ;Privada;;;649;10.35;263;6.6;;;789;3.75;;
745;"Faculdade de Tecnologia de Alagoas (FAT/AL)";AL;Privada;;;684;10.02;590;4.86;;;527;5.16;;
749;"Faculdade de Ciências E Tecnologias de Campos Gerais (FACICA)";MG;Privada;;;688;9.99;363;6.07;;;757;3.92;;
789;"Faculdade Maurício de Nassau Manaus";AM;Privada;;;735;9.72;48;7.75;;;1118;1.97;;
808;"Faculdade de Tecnologia de Valença (FACTIVA)";BA;Privada;;;754;9.6;505;5.31;;;688;4.29;;
823;"Faculdade Integral Diferencial (FACID)";PI;Privada;;;770;9.49;355;6.11;;;857;3.38;;
830;"Faculdade de Educação E Tecnologia da Amazônia (FAM)";PA;Privada;;;777;9.45;723;4.15;;;501;5.3;;
867;"Faculdade Santa Cecília (FASC)";SP;Privada;;;816;9.11;914;3.13;;;375;5.98;;
873;"Instituto Master de Ensino Presidente Antônio Carlos (IMEPAC)";MG;Privada;;;824;9.06;355;6.11;;;937;2.95;;
883;"Faculdade Anhanguera de Pindamonhangaba";SP;Privada;;;834;8.99;1025;2.54;;;289;6.45;;
934;"Trevisan Escola Superior de Negócios- (TEN)";SP;Privada;;;901;8.53;941;2.99;;;457;5.54;;
944;"Universidade do Tocantins (UNITINS)";TO;Estadual;;;915;8.41;1494;0.04;1134;0.37;1;8;;
1021;"Fiam-Faam - Centro Universitário (UNIFIAM-FAAM)";SP;Privada;;;1001;7.77;355;6.11;;;1176;1.66;;
1057;"Faculdade Motiva (FAM)";PB;Privada;;;1039;7.41;111;7.41;;;;;;
1147;"Faculdade Duarte Coelho (FDC)";PE;Privada;;;1134;6.52;667;4.45;;;1100;2.07;;
1156;"Faculdade do Sul da Bahia (FASB)";BA;Privada;;;1144;6.43;1151;1.87;;;638;4.56;;
1256;"Faculdade Estácio da Paraíba";PB;Privada;;;1251;5.23;862;3.41;;;1146;1.82;;
1315;"Faculdade de Palmas (FAPAL)";TO;Privada;;;1312;4.53;1487;0.08;;;659;4.45;;
1328;"Faculdade Autônoma de Direito (FADISP)";SP;Privada;;;1325;4.34;806;3.71;;;1367;0.63;;
1353;"Faculdade de Ciências Jurídicas E Sociais de Maceió (FAMA)";AL;Privada;;;1350;4.02;1483;0.1;;;757;3.92;;
1356;"Faculdade Dehoniana (DEHONIANA)";SP;Privada;;;1353;3.95;1008;2.63;;;1239;1.32;;
1369;"Faculdade Gran Tietê (FGT)";SP;Privada;;;1368;3.71;806;3.71;;;;;;
1435;"Faculdade do Planalto Central (FAPLAC)";GO;Privada;;;1435;2.57;1205;1.58;;;1300;0.99;;
1436;"Faculdade Itaquá (UNEITAQUÁ)";SP;Privada;;;1436;2.56;1208;1.57;;;1300;0.99;;
1442;"Faculdade 2001";PE;Privada;;;1442;2.49;1333;0.9;;;1189;1.59;;
1479;"Faculdade de Ciências Empresariais E Estudos Costeiros de Natal (FACEN)";RN;Privada;;;1479;1.31;1404;0.52;1003;0.79;;;;
1488;"Escola Superior De Administração, Marketing E Comunicação de Perdizes (ESAMC)";SP;Privada;;;1488;0.85;1404;0.52;;;1422;0.33;;
1497;"Instituição de Ensino Superior de Cacoal (FANORTE CACOAL)";RO;Privada;;;1497;0.49;1455;0.25;;;1440;0.24;;
