Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;59.96;2;7.96;;;1;8;1;44
2;"Universidade Federal de Viçosa (UFV)";MG;Pública;3;34;1;61.37;17;7.39;5;3.89;1;8;2;42.09
3;"Universidade Federal de Lavras (UFLA)";MG;Pública;4;33;3;59.01;5;7.85;38;2.99;1;8;3;40.17
4;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;1;36;6;55;3;7.92;37;3.02;108;3.89;3;40.17
5;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;6;31;4;55.75;8;7.73;13;3.67;1;8;5;36.35
6;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;6;31;5;55.01;26;7.04;15;3.62;1;8;5;36.35
7;"Universidade Estadual de Maringá (UEM)";PR;Pública;6;31;9;50.72;41;6.47;11;3.73;1;8;7;32.52
8;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;6;31;10;50.68;30;6.89;28;3.27;1;8;7;32.52
9;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;15;22;7;51.64;22;7.2;4;3.92;1;8;7;32.52
10;"Universidade Estadual de Londrina (UEL)";PR;Pública;15;22;8;51.45;24;7.12;8;3.81;1;8;7;32.52
11;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;15;22;12;49.89;10;7.66;85;1.71;1;8;7;32.52
12;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;4;33;17;37.73;7;7.77;44;2.83;1;8;14;19.13
13;"Universidade Federal de Uberlândia (UFU)";MG;Pública;15;22;13;48.1;16;7.43;14;3.65;92;4.5;7;32.52
14;"Universidade Federal do Paraná (UFPR)";PR;Pública;6;31;16;38.26;13;7.54;16;3.59;1;8;14;19.13
15;"Universidade Federal do Ceará (UFC)";CE;Pública;6;31;18;37.05;19;7.31;52;2.61;1;8;14;19.13
16;"Universidade Federal de Goiás (UFG)";GO;Pública;6;31;19;37.04;35;6.7;30;3.21;1;8;14;19.13
17;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;15;22;15;38.47;12;7.58;10;3.76;1;8;14;19.13
18;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;15;22;23;32.97;34;6.74;47;2.75;96;4.35;14;19.13
19;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;0;0;11;50.23;29;6.93;46;2.78;1;8;7;32.52
20;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;6;31;44;15.91;78;5.05;43;2.86;1;8;0;0
21;"Universidade do Estado de Mato Grosso (UNEMAT)";MT;Pública;6;31;63;13.8;101;4.17;88;1.63;1;8;;
22;"Universidade Tecnológica Federal do Paraná (UTFPR)";PR;Pública;15;22;27;18.38;42;6.43;3;3.95;1;8;0;0
23;"Universidade Estadual de Ponta Grossa (UEPG)";PR;Pública;15;22;29;18.18;45;6.32;6;3.86;1;8;;
24;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;15;22;32;17.57;21;7.23;62;2.34;1;8;;
25;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;15;22;35;17.07;54;5.97;34;3.1;1;8;;
