Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;3;35.03;2;61.03;5;7.89;18;3.65;1;8;3;41.49
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;5;60;1;8;;;1;8;1;44
3;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;3;35.03;4;60.32;16;7.6;100;1.98;1;8;2;42.74
4;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;7;33.08;1;61.15;7;7.84;10;3.82;1;8;3;41.49
5;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;1;36;9;54.4;44;6.87;22;3.57;209;2.47;3;41.49
6;"Universidade de Brasília (UNB)";DF;Pública;16;28.7;3;60.68;14;7.66;24;3.53;1;8;3;41.49
7;"Universidade Federal do Paraná (UFPR)";PR;Pública;7;33.08;7;54.82;13;7.68;4;3.94;1;8;8;35.2
8;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;16;28.7;6;57.46;2;7.97;;;1;8;3;41.49
9;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;16;28.7;8;54.67;10;7.76;15;3.71;1;8;8;35.2
10;"Universidade Federal da Bahia (UFBA)";BA;Pública;7;33.08;14;46.92;140;4.33;42;3.16;1;8;11;31.43
11;"Universidade Federal do Ceará (UFC)";CE;Pública;16;28.7;10;51.03;11;7.74;8;3.86;1;8;11;31.43
12;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;16;28.7;11;50.91;4;7.92;21;3.59;144;4.2;8;35.2
13;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;7;33.08;15;46.23;74;6.07;53;2.94;84;5.79;11;31.43
14;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;7;33.08;16;44;72;6.13;47;3.06;175;3.38;11;31.43
15;"Centro Universitário Belas Artes de São Paulo (FEBASP)";SP;Privada;7;33.08;19;39.5;111;5.1;135;1.27;238;1.7;11;31.43
16;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;7;33.08;22;39.09;19;7.53;28;3.45;1;8;20;20.11
17;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;16;28.7;17;42.14;47;6.79;66;2.67;255;1.25;11;31.43
18;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;36;18.97;12;50.51;35;7.1;2;3.98;1;8;11;31.43
19;"Universidade Estadual de Londrina (UEL)";PR;Pública;36;18.97;13;50.01;31;7.21;32;3.37;1;8;11;31.43
20;"Universidade Paulista (UNIP)";SP;Privada;3;35.03;26;33.35;113;5.04;49;3.02;107;5.18;20;20.11
21;"Universidade Estadual de Maringá (UEM)";PR;Pública;16;28.7;23;38.07;48;6.76;40;3.2;1;8;20;20.11
22;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;3;35.03;28;31.59;77;5.99;83;2.33;183;3.16;20;20.11
23;"Universidade Federal Fluminense (UFF)";RJ;Pública;16;28.7;25;35.72;18;7.55;194;0.06;1;8;20;20.11
24;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;7;33.08;30;30.65;131;4.57;82;2.35;166;3.62;20;20.11
25;"Universidade Anhembi Morumbi (UAM)";SP;Privada;16;28.7;29;31.06;22;7.45;188;0.18;177;3.32;20;20.11
26;"Faculdade de Artes Plásticas da Fundação Armando Alvares Penteado (FAAP)";SP;Privada;36;18.97;18;40.19;85;5.78;55;2.9;299;0.08;11;31.43
27;"Universidade Federal de Goiás (UFG)";GO;Pública;36;18.97;21;39.13;38;7.02;1;4;1;8;20;20.11
28;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;16;28.7;33;28.74;68;6.23;91;2.16;293;0.24;20;20.11
