Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
2;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.08;4;58.08;2;7.96;85;1.76;40;6.56;2;41.8
3;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;6;31.39;1;61.73;3;7.93;1;4;1;8;2;41.8
4;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;6;31.39;2;61.59;6;7.82;2;3.97;1;8;2;41.8
5;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;35.08;8;50.94;8;7.74;;;1;8;5;35.2
6;"Universidade Estadual de Londrina (UEL)";PR;Pública;6;31.39;6;53.94;10;7.67;36;3.07;1;8;5;35.2
7;"Universidade Federal de Uberlândia (UFU)";MG;Pública;6;31.39;7;53.07;9;7.71;5;3.89;48;6.27;5;35.2
8;"Universidade Federal do Pará (UFPA)";PA;Pública;6;31.39;13;45.14;7;7.78;40;2.96;1;8;9;26.4
9;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;6;31.39;15;44.51;11;7.63;58;2.48;1;8;9;26.4
10;"Universidade de Franca (UNIFRAN)";SP;Privada;6;31.39;17;40.25;23;7.19;52;2.64;109;4.02;9;26.4
11;"Universidade Federal do Paraná (UFPR)";PR;Pública;28;11.08;9;46.24;4;7.89;3;3.95;1;8;9;26.4
12;"Universidade Federal do Triângulo Mineiro (UFTM)";MG;Pública;;;5;53.98;32;6.86;4;3.92;1;8;5;35.2
13;"Universidade Federal de Alfenas (UNIFAL-MG)";MG;Pública;6;31.39;19;19.24;16;7.45;9;3.79;1;8;;
14;"Universidade Nove de Julho (UNINOVE)";SP;Privada;6;31.39;22;18.42;75;5.27;37;3.04;63;5.71;19;4.4
15;"Universidade Paulista (UNIP)";SP;Privada;2;35.08;41;13.68;94;4.57;14;3.65;70;5.46;0;0
16;"Universidade de Marília (UNIMAR)";SP;Privada;6;31.39;26;15.86;83;4.98;43;2.88;1;8;0;0
17;"Escola Bahiana de Medicina e Saúde Pública (EBMSP)";BA;Privada;6;31.39;36;14.51;126;3.39;34;3.12;1;8;0;0
18;"Fundação Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA)";RS;Pública;;;10;45.79;14;7.52;6;3.87;1;8;9;26.4
19;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;0;0;11;45.57;17;7.41;10;3.76;1;8;9;26.4
20;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;0;0;12;45.45;5;7.85;31;3.2;1;8;9;26.4
21;"Universidade Federal Fluminense (UFF)";RJ;Pública;0;0;14;45.11;13;7.56;33;3.15;1;8;9;26.4
22;"Centro Universitário da Grande Dourados (UNIGRAN)";MS;Privada;6;31.39;55;12.62;68;5.53;51;2.67;98;4.42;;
23;"Centro Universitário São Camilo (SAO CAMILO)";SP;Privada;6;31.39;57;12.5;30;6.93;24;3.39;159;2.18;0;0
24;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;6;31.39;60;12.33;123;3.5;56;2.53;47;6.3;0;0
25;"Universidade Feevale (FEEVALE)";RS;Privada;0;0;16;42.49;44;6.42;26;3.33;46;6.34;9;26.4
26;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;2;35.08;144;7.23;73;5.35;;;167;1.88;0;0
27;"Universidade Católica de Brasília (UCB)";DF;Privada;6;31.39;88;10.44;158;2.21;29;3.25;83;4.98;;
28;"Universidade Estácio de Sá (UNESA)";RJ;Privada;6;31.39;99;9.7;48;6.27;;;125;3.43;;
29;"Universidade Tiradentes (UNIT)";SE;Privada;6;31.39;130;7.92;107;4.09;96;1.47;154;2.36;;
30;"Centro Universitário Cesmac (CESMAC)";AL;Privada;6;31.39;157;6.75;132;3.17;101;1.33;157;2.25;;
31;"Universidade José do Rosário Vellano (UNIFENAS)";MG;Privada;6;31.39;161;6.67;139;2.91;111;1.07;145;2.69;;
32;"Centro Universitário Barão de Mauá (CBM)";SP;Privada;0;0;18;37.44;147;2.62;80;1.89;41;6.53;9;26.4
33;"Universidade do Estado do Pará (UEPA)";PA;Pública;6;31.39;173;5.83;166;1.92;;;112;3.91;;
34;"Universidade Presidente Antônio Carlos (UNIPAC)";MG;Privada;6;31.39;176;5.66;175;1.59;109;1.12;138;2.95;;
35;"Universidade Salvador (UNIFACS)";BA;Privada;6;31.39;211;1.99;168;1.84;;;214;0.15;;
36;"Universidade Federal de Goiás (UFG)";GO;Pública;28;11.08;24;17.45;21;7.26;69;2.19;1;8;0;0
37;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;28;11.08;25;16.93;80;5.09;49;2.72;90;4.72;19;4.4
38;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;28;11.08;40;13.73;90;4.72;22;3.44;67;5.57;0;0
39;"Centro Universitário de Belo Horizonte (UNI-BH)";MG;Privada;28;11.08;58;12.49;49;6.23;13;3.68;148;2.58;;
40;"Centro Universitário de Araraquara (UNIARA)";SP;Privada;28;11.08;61;12.22;25;7.12;77;1.97;133;3.13;0;0
41;"Centro Universitário Filadélfia (UNIFIL)";PR;Privada;28;11.08;66;11.64;138;2.95;20;3.49;77;5.2;;
42;"Centro Universitário Cândido Rondon (UNIRONDON)";MT;Privada;28;11.08;90;10.3;101;4.31;105;1.23;89;4.76;;
43;"Universidade do Sagrado Coração (USC)";SP;Privada;28;11.08;107;9.15;28;7.01;;;160;2.14;;
44;"Faculdade de Minas (FAMINAS)";MG;Privada;28;11.08;129;7.96;112;3.91;86;1.73;155;2.32;;
45;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;0;0;20;18.72;24;7.15;17;3.57;1;8;0;0
46;"Universidade Federal do Estado do Rio de Janeiro (UNIRIO)";RJ;Pública;;;21;18.68;29;6.97;12;3.71;1;8;0;0
47;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;28;11.08;146;7.13;111;3.95;90;1.63;176;1.55;;
48;"Universidade do Planalto Catarinense (UNIPLAC)";SC;Pública;28;11.08;149;7.06;199;0.7;84;1.79;94;4.57;;
49;"Universidade Federal do Piauí (UFPI)";PI;Pública;0;0;23;17.53;39;6.6;41;2.93;1;8;;
50;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;0;0;27;15.71;40;6.56;25;3.36;61;5.79;0;0
