Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;7;34.69;1;62;10;7.89;29;3.8;1;8;2;42.31
2;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;3;35.56;3;60.42;6;7.94;21;3.86;1;8;3;40.62
3;"Universidade de São Paulo (USP)";SP;Pública;1;36;4;59.96;4;7.96;;;1;8;1;44
4;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;7;34.69;2;60.45;9;7.91;12;3.92;1;8;3;40.62
5;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;3;35.56;5;57.16;5;7.95;4;3.98;1;8;5;37.23
6;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;7;34.69;6;56.99;17;7.81;8;3.95;1;8;5;37.23
7;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;17;32.51;7;56.91;15;7.83;22;3.85;1;8;5;37.23
8;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;17;32.51;8;51.58;11;7.88;65;3.55;1;8;8;32.15
9;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;17;32.51;10;45.71;21;7.76;41;3.72;494;2.08;8;32.15
10;"Universidade de Brasília (UNB)";DF;Pública;17;32.51;11;45.14;14;7.85;15;3.9;1;8;12;25.39
11;"Universidade Federal do Paraná (UFPR)";PR;Pública;17;32.51;13;44.79;20;7.77;54;3.63;1;8;12;25.39
12;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;17;32.51;14;44.75;7;7.93;146;2.98;245;5.07;10;28.77
13;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;7;34.69;18;39.86;29;7.67;126;3.12;361;3.68;12;25.39
14;"Instituto Tecnológico de Aeronáutica (ITA)";SP;Pública;39;27.71;9;46.44;12;7.87;2;3.99;183;5.81;10;28.77
15;"Universidade Federal de Campina Grande (UFCG)";PB;Pública;39;27.71;15;44.67;41;7.52;35;3.76;1;8;12;25.39
16;"Universidade Federal da Paraíba (UFPB)";PB;Pública;39;27.71;16;44.33;35;7.6;95;3.34;1;8;12;25.39
17;"Universidade Federal do Ceará (UFC)";CE;Pública;7;34.69;19;32.57;47;7.45;61;3.58;1;8;19;13.54
18;"Universidade Federal de Goiás (UFG)";GO;Pública;7;34.69;20;32.01;84;7.01;78;3.46;1;8;19;13.54
19;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;17;32.51;21;29.62;52;7.39;69;3.52;237;5.17;19;13.54
20;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;17;32.51;22;29.23;45;7.48;276;2.07;156;6.14;19;13.54
21;"Universidade Tecnológica Federal do Paraná (UTFPR)";PR;Pública;88;17.02;17;44.31;81;7.05;19;3.87;1;8;12;25.39
22;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;3;35.56;26;25.02;57;7.33;135;3.06;576;1.09;19;13.54
23;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;17;32.51;23;27.41;78;7.08;192;2.66;323;4.13;19;13.54
24;"Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros (FEI)";SP;Privada;39;27.71;24;26.25;19;7.79;145;2.99;506;1.93;19;13.54
25;"Universidade Federal Fluminense (UFF)";RJ;Pública;17;32.51;30;19.56;13;7.86;44;3.7;1;8;0;0
26;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;17;32.51;40;18.86;61;7.29;62;3.57;1;8;0;0
27;"Universidade Federal da Bahia (UFBA)";BA;Pública;17;32.51;52;18.38;132;6.44;9;3.94;1;8;;
28;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;3;35.56;117;14.73;82;7.03;94;3.35;305;4.35;0;0
29;"Universidade Paulista (UNIP)";SP;Privada;1;36;154;13.64;163;6.07;266;2.14;215;5.43;;
30;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;7;34.69;134;14.21;100;6.82;156;2.91;294;4.48;;
31;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;39;27.71;29;19.58;28;7.68;15;3.9;1;8;;
32;"Universidade Estadual do Ceará (UECE)";CE;Pública;17;32.51;128;14.43;80;7.06;91;3.37;334;4;;
33;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;39;27.71;36;19.19;59;7.31;18;3.88;1;8;0;0
34;"Universidade Positivo (UP)";PR;Privada;17;32.51;138;14.09;102;6.8;194;2.65;281;4.64;;
35;"Universidade Federal de Viçosa (UFV)";MG;Pública;39;27.71;41;18.79;68;7.2;59;3.59;1;8;0;0
36;"Universidade Estácio de Sá (UNESA)";RJ;Privada;7;34.69;235;11.5;264;4.86;168;2.83;350;3.81;;
37;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;39;27.71;51;18.46;44;7.49;148;2.97;1;8;;
38;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;7;34.69;240;11.42;187;5.78;262;2.17;378;3.47;;
39;"Universidade Estadual de Maringá (UEM)";PR;Pública;39;27.71;56;18.19;53;7.38;171;2.81;1;8;;
