Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;5;34.08;1;62.19;5;7.76;1;4;1;8;3;42.43
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
3;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;5;34.08;2;61.41;6;7.7;42;2.5;1;8;2;43.21
4;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;5;34.08;4;59.55;8;7.59;4;3.89;1;8;6;40.07
5;"Escola Superior de Propaganda e Marketing (ESPM)";SP;Privada;1;36;10;50.99;43;5.51;25;3.12;96;2.29;6;40.07
6;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;18;27.84;5;59.01;7;7.64;20;3.3;1;8;6;40.07
7;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;18;27.84;6;57.71;2;7.94;26;3.08;50;5.05;4;41.64
8;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;5;34.08;9;51.09;31;6.22;40;2.57;123;0.66;4;41.64
9;"Universidade Federal do Paraná (UFPR)";PR;Pública;5;34.08;12;49.75;24;6.64;31;2.9;1;8;16;32.21
10;"Universidade Anhembi Morumbi (UAM)";SP;Privada;5;34.08;13;48.82;13;7.29;88;0.81;84;3.01;9;37.71
11;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;1;36;15;46.76;26;6.52;77;1.21;112;1.32;9;37.71
12;"Centro Universitário Belas Artes de São Paulo (FEBASP)";SP;Privada;1;36;18;46.31;59;4.56;44;2.42;107;1.62;9;37.71
13;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;5;34.08;14;47.66;35;5.99;3;3.93;42;5.53;16;32.21
14;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;18;27.84;8;52.3;16;7.11;52;2.13;45;5.35;9;37.71
15;"Universidade de Brasília (UNB)";DF;Pública;32;21.12;7;56.9;11;7.41;7;3.78;1;8;9;37.71
