Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;4;35.1;1;61.95;3;7.98;32;3.84;1;8;3;42.13
2;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;4;35.1;2;61.22;11;7.91;159;3.18;1;8;3;42.13
3;"Universidade de São Paulo (USP)";SP;Pública;1;36;4;60;1;8;;;1;8;1;44
4;"Escola de Direito de São Paulo (DIREITO GV)";SP;Privada;8;33.9;3;60.71;2;7.99;41;3.79;132;6.8;3;42.13
5;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;3;35.4;5;58.98;17;7.85;196;2.99;319;5.08;2;43.06
6;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;8;33.9;9;55.99;13;7.89;80;3.59;1;8;9;36.51
7;"Universidade de Brasília (UNB)";DF;Pública;17;31.2;6;58.26;8;7.94;12;3.94;1;8;7;38.38
8;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;17;31.2;7;58.19;10;7.92;22;3.89;1;8;7;38.38
9;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;1;36;11;52.75;29;7.74;602;0.89;655;1.99;3;42.13
10;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;8;33.9;13;52.4;45;7.6;167;3.14;311;5.15;9;36.51
11;"Universidade Federal do Paraná (UFPR)";PR;Pública;17;31.2;12;52.46;6;7.95;;;1;8;9;36.51
12;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;36;25.5;8;56.11;29;7.74;28;3.86;1;8;9;36.51
13;"Escola de Direito do Rio de Janeiro (DIREITO RIO)";RJ;Privada;36;25.5;10;54.66;27;7.76;84;3.57;129;6.82;9;36.51
14;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;4;35.1;19;44.16;124;6.88;353;2.18;515;3.27;14;31.83
15;"Universidade Federal da Bahia (UFBA)";BA;Pública;17;31.2;16;48.03;194;6.24;395;1.96;1;8;14;31.83
16;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;8;33.9;18;44.92;152;6.62;361;2.14;400;4.33;14;31.83
17;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;17;31.2;17;46.75;32;7.72;432;1.77;280;5.43;14;31.83
18;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;36;25.5;15;50.65;5;7.96;221;2.86;1;8;14;31.83
19;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;8;33.9;30;42.12;153;6.61;119;3.39;839;0.29;14;31.83
20;"Universidade São Francisco (USF)";SP;Privada;17;31.2;20;43.45;56;7.5;388;2;640;2.12;14;31.83
21;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;17;31.2;21;43.14;87;7.21;173;3.11;763;0.99;14;31.83
22;"Universidade Federal do Ceará (UFC)";CE;Pública;17;31.2;24;42.89;16;7.86;72;3.63;1;8;23;23.4
23;"Universidade Paulista (UNIP)";SP;Privada;4;35.1;35;38.98;239;5.82;70;3.64;205;6.12;23;23.4
24;"Universidade Federal Fluminense (UFF)";RJ;Pública;17;31.2;26;42.48;14;7.88;155;3.2;1;8;23;23.4
25;"Universidade Federal de Goiás (UFG)";GO;Pública;17;31.2;33;41.03;255;5.68;10;3.95;1;8;23;23.4
26;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;8;33.9;40;36.76;54;7.52;409;1.89;441;3.95;23;23.4
27;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;36;25.5;23;42.91;48;7.57;12;3.94;1;8;23;23.4
27;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;8;33.9;44;34.51;192;6.25;413;1.87;546;2.99;23;23.4
29;"Universidade Federal do Pará (UFPA)";PA;Pública;36;25.5;27;42.36;75;7.32;70;3.64;1;8;23;23.4
30;"Universidade Estadual de Maringá (UEM)";PR;Pública;36;25.5;28;42.25;113;6.98;26;3.87;1;8;23;23.4
31;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;36;25.5;29;42.19;129;6.83;8;3.96;1;8;23;23.4
32;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;69;15.6;14;51.23;64;7.42;4;3.98;1;8;14;31.83
33;"Universidade Nove de Julho (UNINOVE)";SP;Privada;36;25.5;34;40.31;25;7.78;202;2.96;200;6.17;23;23.4
34;"Centro Universitário Curitiba (UNICURITIBA)";PR;Privada;17;31.2;43;34.57;106;7.04;616;0.82;511;3.31;23;23.4
35;"Faculdade de Direito de São Bernardo do Campo (FDSBC)";SP;Pública;17;31.2;45;33.2;17;7.85;461;1.62;835;0.33;23;23.4
36;"Escola Superior Dom Helder Câmara (ESDHC)";MG;Privada;36;25.5;36;38.56;222;5.98;84;3.57;261;5.61;23;23.4
37;"Universidade da Amazônia (UNAMA)";PA;Privada;36;25.5;37;38.1;191;6.26;144;3.26;308;5.18;23;23.4
38;"Universidade Positivo (UP)";PR;Privada;36;25.5;38;38.03;95;7.14;349;2.2;296;5.29;23;23.4
39;"Centro Universitário de Brasília (UNICEUB)";DF;Privada;17;31.2;46;32.11;253;5.7;537;1.23;677;1.78;23;23.4
40;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;36;25.5;39;36.88;337;4.93;237;2.78;244;5.77;23;23.4
41;"Universidade Estadual de Londrina (UEL)";PR;Pública;69;15.6;25;42.55;91;7.18;6;3.97;1;8;23;23.4
42;"Universidade Federal de Viçosa (UFV)";MG;Pública;69;15.6;31;41.87;167;6.48;3;3.99;1;8;23;23.4
43;"Universidade Potiguar (UNP)";RN;Privada;36;25.5;47;30.65;554;2.94;639;0.7;478;3.61;23;23.4
44;"Faculdade de Direito Milton Campos (FDMC)";MG;Privada;8;33.9;245;12.35;98;7.11;324;2.33;555;2.91;0;0
45;"Universidade Federal de Alagoas (UFAL)";AL;Pública;36;25.5;49;19.59;24;7.79;39;3.8;1;8;0;0
46;"Universidade Salvador (UNIFACS)";BA;Privada;17;31.2;171;13.58;190;6.27;63;3.68;476;3.63;;
47;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;17;31.2;251;12.28;72;7.35;506;1.39;486;3.54;;
48;"Universidade Cândido Mendes (UCAM)";RJ;Privada;17;31.2;265;12.07;118;6.93;686;0.46;362;4.68;0;0
49;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;0;0;22;42.98;43;7.62;8;3.96;1;8;23;23.4
50;"Universidade Federal de Uberlândia (UFU)";MG;Pública;36;25.5;69;17.42;96;7.13;43;3.78;163;6.51;0;0
51;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;36;25.5;71;17.4;20;7.83;471;1.57;1;8;0;0
52;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;36;25.5;75;17.15;66;7.41;45;3.77;222;5.97;0;0
53;"Universidade São Judas Tadeu (USJT)";SP;Privada;17;31.2;306;11.43;68;7.39;177;3.09;768;0.95;;
54;"Centro Universitário do Estado do Pará (CESUPA)";PA;Privada;36;25.5;84;16.83;86;7.22;47;3.76;235;5.85;;
55;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;0;0;32;41.38;214;6.05;14;3.93;1;8;23;23.4
56;"Faculdade Sete de Setembro (FA7)";CE;Privada;36;25.5;117;15.42;178;6.38;215;2.89;202;6.15;;
57;"Universidade de Fortaleza (UNIFOR)";CE;Privada;17;31.2;435;9.67;303;5.24;463;1.61;564;2.82;0;0
58;"Universidade Estácio de Sá (UNESA)";RJ;Privada;17;31.2;456;9.46;402;4.33;347;2.21;553;2.92;;
59;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;8;33.9;739;5.8;537;3.1;397;1.95;789;0.75;0;0
60;"Centro Universitário Ritter dos Reis (UNIRITTER)";RS;Privada;36;25.5;192;13.24;90;7.19;184;3.05;545;3;0;0
61;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;36;25.5;226;12.71;251;5.71;246;2.73;407;4.27;;
62;"Universidade Federal do Amazonas (UFAM)";AM;Pública;36;25.5;246;12.33;733;1.31;190;3.02;1;8;;
63;"Centro Universitário Cândido Rondon (UNIRONDON)";MT;Privada;36;25.5;247;12.32;418;4.19;407;1.9;193;6.23;;
64;"Universidade Anhembi Morumbi (UAM)";SP;Privada;36;25.5;261;12.09;28;7.75;196;2.99;724;1.35;;
65;"Centro Universitário de Ensino Superior do Amazonas (CIESA)";AM;Privada;36;25.5;272;11.96;321;5.07;314;2.38;381;4.51;;
66;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;36;25.5;277;11.88;561;2.88;204;2.95;213;6.05;;
67;"Universidade Fumec (FUMEC)";MG;Privada;36;25.5;364;10.6;115;6.96;446;1.7;660;1.94;0;0
