Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;6;33.91;1;62.3;9;7.65;14;3.67;1;8;2;42.98
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;59.96;2;7.96;;;1;8;1;44
3;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;35.58;4;57.64;5;7.83;3;3.95;1;8;7;37.86
4;"Escola de Economia de São Paulo (EESP)";SP;Privada;2;35.58;5;57.31;3;7.91;1;4;104;3.45;3;41.95
5;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;6;33.91;3;57.96;6;7.78;109;1.25;1;8;4;40.93
6;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;10;32.23;8;54.86;14;7.43;16;3.62;1;8;9;35.81
7;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;2;35.58;10;50.33;31;6.69;117;1.05;75;4.73;7;37.86
8;"Universidade Federal do Paraná (UFPR)";PR;Pública;10;32.23;9;51.43;27;6.86;48;2.8;1;8;11;33.77
9;"Escola Brasileira de Economia e Finanças (EBEF)";RJ;Privada;24;26.37;6;56.38;8;7.69;6;3.87;94;3.89;4;40.93
10;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;10;32.23;11;49.69;25;6.95;120;0.97;163;0.84;4;40.93
11;"Universidade de Brasília (UNB)";DF;Pública;24;26.37;7;54.94;19;7.21;4;3.92;1;8;9;35.81
12;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;2;35.58;16;45.61;32;6.65;36;3.11;135;2.08;11;33.77
13;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;10;32.23;14;46.99;39;6.34;41;2.98;1;8;15;29.67
14;"Universidade Federal Fluminense (UFF)";RJ;Pública;24;26.37;12;48.43;12;7.52;31;3.24;1;8;15;29.67
15;"Insper Instituto de Ensino e Pesquisa (INSPER)";SP;Privada;24;26.37;13;47.63;13;7.48;17;3.59;119;2.79;11;33.77
16;"Universidade Federal do Ceará (UFC)";CE;Pública;10;32.23;23;41.05;26;6.91;56;2.6;1;8;21;23.54
17;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;24;26.37;15;45.73;41;6.25;87;1.81;1;8;15;29.67
18;"Universidade Federal de Goiás (UFG)";GO;Pública;10;32.23;26;39.54;79;4.59;24;3.41;1;8;21;23.54
19;"Faculdade de Economia e Finanças Ibmec (FACULDADES IBMEC)";RJ;Privada;24;26.37;17;45.3;30;6.73;13;3.69;157;1.11;11;33.77
20;"Universidade Estadual de Maringá (UEM)";PR;Pública;24;26.37;18;45.24;64;5.25;67;2.32;1;8;15;29.67
21;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;10;32.23;33;37.05;33;6.6;43;2.93;92;3.98;21;23.54
22;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;10;32.23;36;36.27;20;7.17;127;0.79;74;4.77;21;23.54
23;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;10;32.23;38;35.33;37;6.43;45;2.88;126;2.48;21;23.54
24;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;24;26.37;22;41.12;7;7.74;153;0.13;101;3.58;15;29.67
25;"Universidade Federal da Paraíba (UFPB)";PB;Pública;24;26.37;24;40.89;47;5.99;26;3.36;1;8;21;23.54
26;"Universidade Paulista (UNIP)";SP;Privada;10;32.23;41;33.82;123;2.67;19;3.54;90;4.07;21;23.54
27;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;24;26.37;29;38.33;81;4.5;68;2.29;1;8;21;23.54
28;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;24;26.37;31;37.94;61;5.38;118;1.02;1;8;21;23.54
29;"Universidade Federal de Uberlândia (UFU)";MG;Pública;24;26.37;32;37.77;23;7.04;65;2.37;73;4.82;21;23.54
30;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;10;32.23;43;31.38;58;5.51;103;1.4;161;0.93;21;23.54
31;"Universidade Federal da Bahia (UFBA)";BA;Pública;24;26.37;34;36.64;117;2.93;73;2.17;1;8;21;23.54
32;"Fae Centro Universitário (FAE)";PR;Privada;24;26.37;40;34.68;45;6.08;79;2.01;113;3.05;21;23.54
33;"Universidade Luterana do Brasil (ULBRA)";RS;Privada;24;26.37;42;32.12;136;2.1;70;2.24;86;4.24;21;23.54
34;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;51;15.07;19;42.97;10;7.61;8;3.82;1;8;21;23.54
35;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;51;15.07;20;41.56;40;6.3;12;3.72;1;8;21;23.54
36;"Faculdade Ibmec (IBMEC)";MG;Privada;51;15.07;21;41.15;53;5.73;2;3.98;142;1.77;15;29.67
37;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;51;15.07;25;40.62;35;6.51;57;2.57;1;8;21;23.54
38;"Universidade Federal do Pará (UFPA)";PA;Pública;51;15.07;26;39.54;50;5.86;74;2.14;1;8;21;23.54
39;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;51;15.07;28;39.41;4;7.87;;;1;8;21;23.54
40;"Fundação Universidade do Estado de Santa Catarina (UDESC)";SC;Pública;51;15.07;30;38.15;36;6.47;7;3.85;85;4.29;21;23.54
41;"Centro Universitário Fecap (FECAP)";SP;Privada;51;15.07;39;34.8;46;6.03;15;3.64;146;1.59;21;23.54
42;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;6;33.91;108;8.98;96;3.85;42;2.96;133;2.17;0;0
43;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;6;33.91;114;8.72;93;3.98;78;2.04;121;2.7;0;0
44;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;24;26.37;65;14.53;38;6.38;152;0.15;1;8;;
45;"Universidade Federal de Sergipe (UFS)";SE;Pública;24;26.37;71;13.17;82;4.46;130;0.71;1;8;;
46;"Universidade de Fortaleza (UNIFOR)";CE;Privada;10;32.23;130;7.19;127;2.49;38;3.06;145;1.64;0;0
47;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;10;32.23;135;6.72;42;6.21;145;0.33;178;0.18;0;0
48;"Universidade Positivo (UP)";PR;Privada;24;26.37;78;12.46;62;5.33;10;3.77;106;3.36;0;0
49;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;10;32.23;139;6.2;119;2.84;75;2.12;154;1.24;0;0
50;"Universidade Católica de Brasília (UCB)";DF;Privada;24;26.37;86;11.49;29;6.78;110;1.22;103;3.49;0;0
51;"Universidade Estácio de Sá (UNESA)";RJ;Privada;24;26.37;88;11.3;56;5.6;61;2.47;109;3.23;;
52;"Faculdade de Ciências Econômicas (FACAMP)";SP;Privada;0;0;35;36.52;72;4.9;11;3.75;84;4.33;21;23.54
53;"Universidade Federal de Alfenas (UNIFAL-MG)";MG;Pública;0;0;37;36.26;76;4.72;;;1;8;21;23.54
54;"Universidade Salvador (UNIFACS)";BA;Privada;24;26.37;104;9.61;80;4.55;34;3.16;139;1.9;;
55;"Universidade São Judas Tadeu (USJT)";SP;Privada;24;26.37;105;9.5;44;6.12;60;2.5;162;0.88;;
56;"Universidade Federal de Viçosa (UFV)";MG;Pública;51;15.07;45;18.61;17;7.3;28;3.31;1;8;0;0
57;"Universidade Regional de Blumenau (FURB)";SC;Pública;24;26.37;134;6.72;121;2.75;25;3.39;169;0.58;;
58;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;24;26.37;138;6.27;151;1.44;142;0.41;82;4.42;0;0
59;"Faculdade de Economia da Fundação Armando Alvares Penteado (FEC-FAAP)";SP;Privada;24;26.37;143;6.01;87;4.24;90;1.73;181;0.04;0;0
60;"Centro Universitário do Norte (UNINORTE)";AM;Privada;24;26.37;145;5.78;141;1.88;76;2.09;141;1.81;;
61;"Universidade de Caxias do Sul (UCS)";RS;Privada;24;26.37;147;5.62;105;3.45;128;0.76;150;1.41;0;0
62;"Universidade Estadual de Londrina (UEL)";PR;Pública;51;15.07;57;15.25;28;6.82;141;0.43;1;8;0;0
63;"Universidade Federal de Alagoas (UFAL)";AL;Pública;51;15.07;64;14.61;70;4.98;94;1.63;1;8;;
64;"Universidade Federal do Maranhão (UFMA)";MA;Pública;51;15.07;68;13.95;104;3.5;62;2.45;1;8;;
65;"Universidade Federal do Amazonas (UFAM)";AM;Pública;51;15.07;70;13.35;137;2.06;29;3.29;1;8;;
