Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;3;35.49;1;61.05;6;7.94;17;3.86;1;8;3;41.25
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
3;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;8;34.2;2;60.7;9;7.91;53;3.54;1;8;3;41.25
4;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;8;34.2;4;59.84;5;7.95;154;2.64;1;8;3;41.25
5;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;8;34.2;6;56.17;11;7.88;95;3.16;1;8;6;37.13
6;"Universidade de Brasília (UNB)";DF;Pública;8;34.2;9;52.61;13;7.86;29;3.75;1;8;9;33
7;"Universidade Estadual de Londrina (UEL)";PR;Pública;8;34.2;10;52.56;22;7.76;23;3.8;1;8;9;33
8;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;34;27.51;5;58.6;4;7.97;;;1;8;2;42.63
9;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;34;27.51;7;56.02;25;7.72;94;3.17;1;8;6;37.13
10;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;34;27.51;8;54.51;3;7.98;80;3.3;164;6.1;6;37.13
11;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;3;35.49;17;44.09;37;7.58;28;3.76;1;8;15;24.75
12;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;34;27.51;11;52;49;7.44;50;3.56;1;8;9;33
13;"Universidade Federal do Paraná (UFPR)";PR;Pública;34;27.51;12;51.54;18;7.8;143;2.74;1;8;9;33
14;"Universidade Federal de Goiás (UFG)";GO;Pública;8;34.2;18;44.05;53;7.4;12;3.9;1;8;15;24.75
15;"Universidade Federal da Bahia (UFBA)";BA;Pública;3;35.49;26;42.58;170;6.04;25;3.79;1;8;15;24.75
16;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;8;34.2;23;43.45;108;6.76;8;3.94;1;8;15;24.75
17;"Universidade Federal do Triângulo Mineiro (UFTM)";MG;Pública;34;27.51;14;48.49;45;7.49;;;1;8;9;33
18;"Universidade Nove de Julho (UNINOVE)";SP;Privada;8;34.2;32;37.4;342;4.04;153;2.65;176;5.96;15;24.75
19;"Universidade Estadual de Maringá (UEM)";PR;Pública;34;27.51;19;44;17;7.81;64;3.44;1;8;15;24.75
20;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;34;27.51;22;43.59;39;7.56;82;3.28;1;8;15;24.75
21;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;34;27.51;24;43.04;109;6.74;52;3.55;1;8;15;24.75
22;"Universidade Federal Fluminense (UFF)";RJ;Pública;34;27.51;25;42.62;23;7.74;211;2.13;1;8;15;24.75
23;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;34;27.51;27;41.24;93;6.93;47;3.59;175;5.97;15;24.75
24;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;34;27.51;29;38.76;71;7.19;70;3.39;393;3.43;15;24.75
25;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;34;27.51;30;38.2;150;6.27;122;2.92;322;4.26;15;24.75
26;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;34;27.51;31;38.16;21;7.77;165;2.54;421;3.1;15;24.75
27;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;109;8.23;13;49.59;8;7.92;376;0.67;1;8;9;33
28;"Universidade Federal do Ceará (UFC)";CE;Pública;8;34.2;34;19.87;12;7.87;1;4;1;8;0;0
29;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;8;34.2;40;19.01;79;7.09;10;3.92;1;8;0;0
30;"Faculdade de Medicina de Marília (FAMEMA)";SP;Pública;109;8.23;21;43.76;76;7.13;14;3.88;1;8;15;24.75
31;"Universidade de Pernambuco (UPE)";PE;Pública;8;34.2;57;17.38;207;5.61;27;3.77;1;8;0;0
32;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;8;34.2;62;17.01;57;7.35;264;1.66;1;8;0;0
33;"Universidade Paulista (UNIP)";SP;Privada;1;36;112;14.78;196;5.73;18;3.85;241;5.2;;
34;"Universidade Federal do Pará (UFPA)";PA;Pública;8;34.2;74;16.49;191;5.79;147;2.7;1;8;;
35;"Escola Bahiana de Medicina e Saúde Pública (EBMSP)";BA;Privada;8;34.2;137;13.98;483;2.4;48;3.58;1;8;;
36;"Universidade Federal de Viçosa (UFV)";MG;Pública;34;27.51;35;19.59;33;7.63;5;3.96;1;8;;
37;"Universidade Federal da Paraíba (UFPB)";PB;Pública;34;27.51;36;19.58;28;7.69;13;3.89;1;8;;
38;"Centro Universitário São Camilo (SAO CAMILO)";SP;Privada;3;35.49;210;11.58;144;6.34;;;238;5.24;0;0
39;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;8;34.2;174;12.8;56;7.36;448;0.03;223;5.41;0;0
40;"Universidade Federal de Sergipe (UFS)";SE;Pública;34;27.51;43;18.53;110;6.73;23;3.8;1;8;;
41;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;3;35.49;256;10.42;205;5.63;163;2.56;496;2.23;0;0
42;"Universidade Federal de Uberlândia (UFU)";MG;Pública;34;27.51;47;18.36;59;7.33;110;3.03;1;8;;
43;"Universidade de Fortaleza (UNIFOR)";CE;Privada;8;34.2;224;11.36;136;6.43;189;2.33;464;2.6;0;0
44;"Universidade Federal de Alagoas (UFAL)";AL;Pública;34;27.51;49;18.02;147;6.3;32;3.72;1;8;0;0
45;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;8;34.2;230;11.12;265;4.93;144;2.73;390;3.46;0;0
46;"Instituto Superior de Teologia Aplicada (INTA)";CE;Privada;34;27.51;54;17.59;48;7.45;210;2.14;1;8;;
47;"Universidade Estadual do Ceará (UECE)";CE;Pública;34;27.51;56;17.47;50;7.43;11;3.91;161;6.13;;
48;"Universidade Federal do Maranhão (UFMA)";MA;Pública;34;27.51;58;17.24;184;5.87;72;3.37;1;8;;
49;"Centro Universitário do Rio Grande do Norte (UNI-RN)";RN;Privada;34;27.51;61;17.05;80;7.08;229;1.97;1;8;;
49;"Universidade Federal de Alfenas (UNIFAL-MG)";MG;Pública;0;0;15;44.56;14;7.85;5;3.96;1;8;15;24.75
51;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;8;34.2;261;10.33;285;4.7;;;204;5.63;0;0
52;"Universidade Federal do Piauí (UFPI)";PI;Pública;34;27.51;63;16.98;232;5.31;38;3.67;1;8;0;0
53;"Faculdade de Medicina de São José do Rio Preto (FAMERP)";SP;Pública;0;0;16;44.35;20;7.78;21;3.82;1;8;15;24.75
54;"Universidade Católica de Brasília (UCB)";DF;Privada;8;34.2;276;10.07;332;4.15;176;2.44;389;3.48;;
55;"Universidade Federal de Campina Grande (UFCG)";PB;Pública;34;27.51;69;16.69;248;5.13;50;3.56;1;8;;
56;"Faculdade Israelita de Ciências da Saúde Einstein (FICSAE)";SP;Privada;34;27.51;72;16.6;78;7.11;20;3.83;202;5.66;0;0
57;"Faculdade de Ciências Médicas da Santa Casa São Paulo (FCMSCSP)";SP;Privada;0;0;20;43.8;26;7.71;75;3.34;1;8;15;24.75
58;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;8;34.2;308;9.53;256;5.04;323;1.14;400;3.35;;
59;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;34;27.51;76;16.11;317;4.33;26;3.78;1;8;;
60;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;34;27.51;77;16.09;73;7.16;89;3.22;197;5.71;0;0
61;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;34;27.51;80;15.91;89;6.98;73;3.36;209;5.57;0;0
62;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;34;27.51;93;15.32;148;6.29;116;2.98;168;6.05;;
63;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;8;34.2;361;8.52;292;4.62;106;3.07;616;0.83;;
64;"Universidade Tiradentes (UNIT)";SE;Privada;8;34.2;390;8.13;326;4.22;166;2.53;569;1.38;;
65;"Universidade Católica de Pelotas (UCPEL)";RS;Privada;34;27.51;115;14.71;91;6.95;185;2.36;224;5.4;;
66;"Universidade Positivo (UP)";PR;Privada;34;27.51;122;14.53;55;7.37;54;3.53;376;3.63;;
67;"Universidade do Ceuma (UNICEUMA)";MA;Privada;34;27.51;125;14.53;237;5.26;308;1.27;1;8;;
68;"Universidade Potiguar (UNP)";RN;Privada;8;34.2;419;7.57;340;4.06;430;0.19;402;3.32;;
69;"Centro Universitário Una (UNA)";MG;Privada;34;27.51;136;14.01;133;6.47;91;3.2;315;4.34;;
70;"Universidade de Marília (UNIMAR)";SP;Privada;34;27.51;142;13.83;138;6.41;261;1.69;196;5.73;;
71;"Universidade do Estado do Pará (UEPA)";PA;Pública;8;34.2;448;7.07;523;1.93;;;246;5.14;0;0
72;"Universidade Católica do Salvador (UCSAL)";BA;Privada;8;34.2;453;7.05;371;3.7;332;1.06;491;2.29;;
73;"Universidade Estadual de Feira de Santana (UEFS)";BA;Pública;34;27.51;145;13.66;206;5.62;446;0.04;1;8;0;0
74;"Centro Universitário Herminio Ometto (UNIARARAS)";SP;Privada;34;27.51;156;13.34;69;7.21;95;3.16;432;2.97;;
75;"Universidade Comunitária da Região de Chapecó (UNOCHAPECÓ)";SC;Pública;34;27.51;161;13.14;330;4.17;103;3.09;183;5.88;;
76;"Universidade do Extremo Sul Catarinense (UNESC)";SC;Privada;34;27.51;166;13.05;301;4.51;172;2.48;167;6.06;0;0
77;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;34;27.51;169;13.01;179;5.93;185;2.36;282;4.72;;
78;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;34;27.51;179;12.61;388;3.5;56;3.51;207;5.6;;
