Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;3;32.73;1;62.13;4;7.82;36;2.31;1;8;1;44
2;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;3;32.73;2;61.29;3;7.88;1;4;1;8;2;41.41
3;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;1;36;4;55.99;2;7.94;5;3.81;1;8;4;36.24
4;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;3;32.73;5;55.85;6;7.71;3;3.9;1;8;4;36.24
5;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;3;32.73;7;48.71;9;7.53;40;2.12;1;8;6;31.06
6;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;12;18;3;60.86;8;7.59;4;3.86;1;8;2;41.41
7;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;3;32.73;11;42.01;19;6.94;35;2.36;109;1.65;6;31.06
8;"Universidade Tecnológica Federal do Paraná (UTFPR)";PR;Pública;12;18;6;48.93;25;6.59;16;3.28;1;8;6;31.06
9;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;12;18;9;45.3;31;6.24;;;1;8;6;31.06
10;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;3;32.73;15;27.94;18;7;;;45;5.41;12;15.53
11;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;12;18;12;34.66;15;7.18;2;3.95;1;8;12;15.53
12;"Universidade Federal de Itajubá (UNIFEI)";MG;Pública;0;0;8;47.59;16;7.12;6;3.76;41;5.65;6;31.06
13;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;1;36;55;9.94;59;4.59;39;2.17;83;3.18;0;0
14;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;3;32.73;45;12.28;29;6.35;22;2.99;87;2.94;0;0
15;"Universidade Paulista (UNIP)";SP;Privada;3;32.73;46;11.66;41;5.65;46;1.83;66;4.18;0;0
16;"Universidade de Caxias do Sul (UCS)";RS;Privada;3;32.73;49;10.61;22;6.77;42;2.02;106;1.82;;
17;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;0;0;10;43.25;12;7.35;8;3.66;117;1.18;6;31.06
18;"Centro Universitário do Instituto Mauá de Tecnologia (CEUN-IMT)";SP;Privada;12;18;17;25.2;42;5.59;9;3.61;129;0.47;12;15.53
19;"Universidade Federal da Bahia (UFBA)";BA;Pública;12;18;23;17.54;33;6.12;13;3.42;1;8;0;0
20;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;0;0;13;33.92;17;7.06;15;3.33;1;8;12;15.53
21;"Centro Federal de Educação Tecnológica de Minas Gerais (CEFET/MG)";MG;Pública;12;18;38;14.28;73;3.77;32;2.51;1;8;0;0
22;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;0;0;14;28.51;23;6.71;43;1.98;64;4.29;12;15.53
23;"Centro Universitário Salesiano de São Paulo (UNISAL)";SP;Privada;12;18;64;9.65;26;6.53;79;0.24;88;2.88;;
24;"Faculdade Integrada Metropolitana de Campinas (METROCAMP)";SP;Privada;0;0;16;27.07;30;6.29;52;1.54;74;3.71;12;15.53
25;"Centro Universitário Una (UNA)";MG;Privada;12;18;70;9.04;46;5.35;38;2.22;112;1.47;;
26;"Universidade de Fortaleza (UNIFOR)";CE;Privada;12;18;88;6.82;65;4.24;44;1.93;126;0.65;0;0
27;"Centro Universitário Newton Paiva (NEWTON PAIVA)";MG;Privada;12;18;103;5.36;83;3.18;;;100;2.18;;
28;"Fundação Universidade Federal do Abc (UFABC)";SP;Pública;0;0;18;19.47;1;8;12;3.47;1;8;0;0
29;"Universidade Federal de Ouro Preto (UFOP)";MG;Pública;;;19;18.61;14;7.24;14;3.37;1;8;;
30;"Universidade Federal de Uberlândia (UFU)";MG;Pública;;;20;18.59;11;7.41;18;3.18;1;8;0;0
31;"Universidade Federal de Lavras (UFLA)";MG;Pública;0;0;21;18.31;10;7.47;25;2.84;1;8;;
32;"Universidade Federal do Rio Grande (FURG)";RS;Pública;;;22;17.63;20;6.88;27;2.75;1;8;0;0
33;"Faculdade Assis Gurgacz (FAG)";PR;Privada;0;0;24;17.29;39;5.77;11;3.52;1;8;;
34;"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo (IFSP)";SP;Pública;;;25;16.83;32;6.18;29;2.65;1;8;0;0
35;"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo (IFES)";ES;Pública;;;26;16.77;51;5.06;7;3.71;1;8;0;0
36;"Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET/RJ)";RJ;Pública;0;0;27;16.7;21;6.82;45;1.88;1;8;;
37;"Universidade do Estado do Amazonas (UEA)";AM;Pública;;;28;16.61;43;5.53;20;3.08;1;8;;
38;"Universidade de Pernambuco (UPE)";PE;Pública;;;29;16.46;35;6;33;2.46;1;8;;
39;"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso (IFMT)";MT;Pública;;;30;15.77;5;7.77;;;1;8;;
40;"Faculdade Brasileira (MULTIVIX)";ES;Privada;;;31;15.65;7;7.65;;;1;8;;
41;"Instituto Federal de Educação, Ciência e Tecnologia do Pará (IFPA)";PA;Pública;;;32;15.29;63;4.35;23;2.94;1;8;;
41;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;;;32;15.29;13;7.29;;;1;8;;
43;"Instituto Federal de Educação, Ciência e Tecnologia de Goiás (IFG)";GO;Pública;;;34;15.25;44;5.47;47;1.78;1;8;;
44;"Instituto Federal de Educação, Ciência e Tecnologia Fluminense (IF Fluminense)";RJ;Pública;;;35;15.18;64;4.29;24;2.89;1;8;;
45;"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS)";RS;Pública;;;36;14.65;24;6.65;;;1;8;;
46;"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas (IFAM)";AM;Pública;0;0;37;14.47;27;6.47;;;1;8;0;0
47;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;;;39;13.94;36;5.94;;;1;8;;
48;"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina (IFSC)";SC;Pública;;;40;13.88;37;5.88;;;1;8;0;0
49;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;;;41;13.04;62;4.41;21;3.04;42;5.59;;
50;"Faculdade do Centro Leste (UCL)";ES;Privada;;;42;12.94;53;4.94;17;3.23;56;4.77;;
