Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.61;1;62.36;5;7.93;1;4;1;8;2;42.43
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;59.95;4;7.95;;;1;8;1;44
3;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;10;32.48;2;61.97;19;7.7;12;3.84;1;8;2;42.43
4;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.61;5;56.99;3;7.97;48;3.31;1;8;5;37.71
5;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;10;32.48;4;59.04;8;7.88;10;3.87;1;8;4;39.29
6;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;35.61;6;55.88;6;7.92;13;3.82;1;8;6;36.14
7;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;2;35.61;7;55.87;11;7.83;8;3.9;1;8;6;36.14
8;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;10;32.48;8;48.67;7;7.9;68;3.01;194;4.76;8;33
9;"Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros (FEI)";SP;Privada;2;35.61;19;44.92;37;7.4;51;3.26;403;1.26;8;33
10;"Universidade Federal do Paraná (UFPR)";PR;Pública;10;32.48;14;47.54;31;7.5;18;3.75;1;8;11;28.29
11;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;10;32.48;20;44.9;33;7.46;31;3.56;145;5.59;11;28.29
12;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;10;32.48;22;44.46;21;7.67;119;2.26;106;6.24;11;28.29
13;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;2;35.61;25;40.68;39;7.36;60;3.13;365;1.9;11;28.29
14;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;21;28.17;10;48.01;14;7.78;5;3.94;1;8;11;28.29
15;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;21;28.17;11;47.93;17;7.73;7;3.91;1;8;11;28.29
16;"Universidade Federal Fluminense (UFF)";RJ;Pública;21;28.17;12;47.76;9;7.87;28;3.6;1;8;11;28.29
17;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;10;32.48;24;43.09;30;7.52;24;3.66;262;3.62;11;28.29
18;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;21;28.17;16;47;12;7.82;58;3.16;298;3.02;8;33
19;"Universidade Estadual de Maringá (UEM)";PR;Pública;21;28.17;21;44.64;87;6.56;151;1.79;1;8;11;28.29
20;"Centro Universitário do Instituto Mauá de Tecnologia (CEUN-IMT)";SP;Privada;10;32.48;27;38.47;132;5.81;50;3.28;413;1.09;11;28.29
21;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;10;32.48;28;38.46;194;4.77;86;2.75;320;2.65;11;28.29
22;"Universidade de Brasília (UNB)";DF;Pública;38;21.52;9;48.13;10;7.85;2;3.99;1;8;11;28.29
23;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;38;21.52;13;47.7;34;7.45;4;3.96;1;8;11;28.29
24;"Universidade Federal de Viçosa (UFV)";MG;Pública;38;21.52;15;47.1;42;7.31;35;3.5;1;8;11;28.29
25;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;38;21.52;17;46.55;38;7.38;77;2.88;1;8;11;28.29
26;"Universidade Federal do Ceará (UFC)";CE;Pública;10;32.48;30;19.4;16;7.75;25;3.65;1;8;0;0
27;"Universidade Paulista (UNIP)";SP;Privada;2;35.61;71;15;101;6.33;47;3.32;159;5.35;;
28;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;10;32.48;55;16.05;28;7.55;70;2.98;149;5.52;0;0
29;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;21;28.17;35;18.95;36;7.41;32;3.54;1;8;;
30;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;2;35.61;164;11;135;5.76;107;2.44;311;2.8;;
31;"Universidade Tecnológica Federal do Paraná (UTFPR)";PR;Pública;21;28.17;40;18.41;50;7.18;53;3.23;1;8;;
32;"Universidade Federal de Itajubá (UNIFEI)";MG;Pública;0;0;18;45.92;32;7.48;9;3.88;104;6.27;11;28.29
33;"Universidade Federal de Goiás (UFG)";GO;Pública;21;28.17;54;16.13;107;6.23;143;1.9;1;8;0;0
34;"Faculdade de Administração de Empresas (FACAMP)";SP;Privada;;;23;43.26;106;6.24;45;3.35;157;5.38;11;28.29
35;"Universidade de Caxias do Sul (UCS)";RS;Privada;21;28.17;104;13.33;53;7.13;69;3;287;3.2;0;0
36;"Universidade Positivo (UP)";PR;Privada;21;28.17;116;12.84;104;6.28;59;3.14;274;3.42;;
37;"Universidade Federal da Paraíba (UFPB)";PB;Pública;38;21.52;31;19.25;24;7.62;26;3.63;1;8;0;0
38;"Universidade Federal de Uberlândia (UFU)";MG;Pública;38;21.52;34;18.97;48;7.21;17;3.76;1;8;0;0
39;"Faculdade Integrada Metropolitana de Campinas (METROCAMP)";SP;Privada;;;26;39.98;75;6.76;;;184;4.93;11;28.29
40;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;38;21.52;41;18.37;69;6.86;34;3.51;1;8;0;0
41;"Universidade Federal de Sergipe (UFS)";SE;Pública;38;21.52;43;18.09;57;7.06;67;3.03;1;8;;
42;"Universidade Federal da Bahia (UFBA)";BA;Pública;38;21.52;44;18.04;114;6.11;6;3.93;1;8;;
43;"Universidade Estácio de Sá (UNESA)";RJ;Privada;21;28.17;160;11.23;162;5.31;138;1.98;243;3.94;;
44;"Universidade São Judas Tadeu (USJT)";SP;Privada;21;28.17;162;11.06;93;6.46;43;3.38;405;1.22;;
45;"Universidade de Fortaleza (UNIFOR)";CE;Privada;21;28.17;225;9.19;177;5.05;87;2.73;394;1.41;;
