Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.22;1;61.4;7;7.68;10;3.63;1;8;2;42.09
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;59.9;3;7.9;;;1;8;1;44
3;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;4;33.65;3;59.6;4;7.84;11;3.59;1;8;3;40.17
4;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;35.22;4;57.96;6;7.74;2;3.96;1;8;4;38.26
5;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;4;33.65;6;53.75;11;7.47;5;3.84;1;8;6;34.44
6;"Universidade Federal do Paraná (UFPR)";PR;Pública;4;33.65;8;49.52;17;7.16;7;3.75;1;8;8;30.61
7;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;17;23.48;5;57.76;5;7.79;8;3.71;1;8;4;38.26
8;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;17;23.48;7;50.74;36;6.16;46;2.14;1;8;6;34.44
9;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;17;23.48;9;47.95;43;5.79;12;3.55;1;8;8;30.61
10;"Universidade Estadual de Maringá (UEM)";PR;Pública;17;23.48;11;47.7;46;5.63;14;3.46;1;8;8;30.61
11;"Universidade Federal de Uberlândia (UFU)";MG;Pública;17;23.48;12;46.23;12;7.42;16;3.38;61;4.82;8;30.61
12;"Universidade Federal da Bahia (UFBA)";BA;Pública;17;23.48;13;46.2;70;4.37;20;3.22;1;8;8;30.61
13;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;17;23.48;14;45.7;1;8;39;2.43;64;4.66;8;30.61
14;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;4;33.65;20;29.77;44;5.74;19;3.26;85;3.55;15;17.22
15;"Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros (FEI)";SP;Privada;4;33.65;22;27.96;23;6.84;37;2.52;126;1.38;15;17.22
16;"Universidade Federal do Ceará (UFC)";CE;Pública;4;33.65;24;19.04;13;7.37;9;3.67;1;8;;
17;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;4;33.65;31;17.64;24;6.79;29;2.85;1;8;0;0
18;"Universidade Federal de Goiás (UFG)";GO;Pública;4;33.65;39;16.71;22;6.9;54;1.81;1;8;;
