Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;1;36;1;62.52;4;7.93;6;3.92;1;8;2;42.67
2;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;4;35.07;2;62.2;9;7.82;19;3.71;1;8;2;42.67
3;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
4;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;4;35.07;4;59.38;3;7.96;46;3.29;116;5.46;2;42.67
5;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;4;35.07;6;58.12;6;7.89;29;3.56;1;8;5;38.67
6;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;12;32.59;5;58.19;7;7.87;23;3.65;1;8;5;38.67
7;"Universidade de Brasília (UNB)";DF;Pública;4;35.07;9;55.53;11;7.78;17;3.75;1;8;7;36
8;"Universidade Federal do Paraná (UFPR)";PR;Pública;12;32.59;7;55.76;8;7.85;7;3.91;1;8;7;36
9;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;12;32.59;10;54.86;17;7.65;51;3.21;1;8;7;36
10;"Universidade Federal do Ceará (UFC)";CE;Pública;4;35.07;15;49.69;31;7.34;21;3.68;1;8;11;30.67
11;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;4;35.07;18;49.49;15;7.69;56;3.13;1;8;11;30.67
12;"Universidade Federal de Ouro Preto (UFOP)";MG;Pública;12;32.59;11;50.3;13;7.74;8;3.89;1;8;11;30.67
13;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;12;32.59;12;50.21;21;7.56;2;3.98;1;8;11;30.67
14;"Universidade Federal de Alfenas (UNIFAL-MG)";MG;Pública;12;32.59;13;50.11;24;7.49;4;3.95;1;8;11;30.67
15;"Universidade Federal de Goiás (UFG)";GO;Pública;12;32.59;16;49.64;38;7.18;14;3.79;1;8;11;30.67
16;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;12;32.59;17;49.56;16;7.67;50;3.22;1;8;11;30.67
17;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;33;26.07;8;55.68;2;7.98;20;3.7;1;8;7;36
18;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;12;32.59;20;48.5;72;6.43;39;3.4;1;8;11;30.67
19;"Universidade Federal da Bahia (UFBA)";BA;Pública;12;32.59;23;48.17;99;5.83;22;3.67;1;8;11;30.67
20;"Universidade Nove de Julho (UNINOVE)";SP;Privada;12;32.59;24;43.62;136;5.02;103;2.38;112;5.55;11;30.67
21;"Universidade Estadual de Londrina (UEL)";PR;Pública;33;26.07;14;49.94;28;7.4;9;3.87;1;8;11;30.67
22;"Universidade Estadual de Maringá (UEM)";PR;Pública;33;26.07;19;49.35;35;7.25;37;3.43;1;8;11;30.67
23;"Faculdades Oswaldo Cruz (FOC)";SP;Privada;4;35.07;25;39.52;124;5.28;45;3.3;351;0.27;11;30.67
24;"Universidade Federal da Paraíba (UFPB)";PB;Pública;33;26.07;21;48.45;45;7.03;80;2.75;1;8;11;30.67
25;"Universidade Federal Fluminense (UFF)";RJ;Pública;33;26.07;22;48.22;26;7.45;121;2.1;1;8;11;30.67
26;"Universidade Metodista de Piracicaba (UNIMEP)";SP;Privada;33;26.07;26;38.84;52;6.87;216;0.59;331;0.71;11;30.67
27;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;12;32.59;29;20.97;37;7.2;11;3.84;336;0.6;27;9.33
28;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;12;32.59;33;19.81;53;6.85;61;3.05;337;0.58;27;9.33
29;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;12;32.59;35;19.13;22;7.54;27;3.59;1;8;0;0
30;"Universidade Federal do Pará (UFPA)";PA;Pública;12;32.59;51;16.58;30;7.36;176;1.22;1;8;0;0
31;"Universidade Paulista (UNIP)";SP;Privada;3;35.38;95;12.93;162;4.44;38;3.41;133;5.08;0;0
32;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;33;26.07;31;20.21;141;4.91;242;0.18;101;5.79;27;9.33
33;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;12;32.59;97;12.87;112;5.55;159;1.49;99;5.83;;
34;"Universidade de Fortaleza (UNIFOR)";CE;Privada;4;35.07;155;9.91;147;4.77;112;2.24;232;2.9;0;0
35;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;33;26.07;41;18.32;60;6.7;25;3.62;1;8;;
36;"Universidade Federal de Campina Grande (UFCG)";PB;Pública;33;26.07;44;18.08;39;7.16;69;2.92;1;8;;
37;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;12;32.59;124;11.29;167;4.33;118;2.14;145;4.82;0;0
38;"Universidade Federal de Alagoas (UFAL)";AL;Pública;33;26.07;46;17.59;43;7.07;94;2.52;1;8;0;0
39;"Universidade Estácio de Sá (UNESA)";RJ;Privada;12;32.59;133;10.75;77;6.32;187;1.05;210;3.38;;
40;"Centro Universitário Newton Paiva (NEWTON PAIVA)";MG;Privada;12;32.59;145;10.45;179;4.07;110;2.27;177;4.11;;
41;"Universidade Federal de Sergipe (UFS)";SE;Pública;33;26.07;49;16.96;33;7.29;148;1.67;1;8;;
42;"Universidade Federal do Amazonas (UFAM)";AM;Pública;33;26.07;52;16.56;114;5.5;60;3.06;1;8;0;0
43;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;33;26.07;53;16.54;23;7.51;13;3.81;127;5.22;;
44;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;33;26.07;56;16.31;29;7.38;48;3.25;106;5.68;0;0
45;"Universidade de Ribeirão Preto (UNAERP)";SP;Privada;33;26.07;58;16;25;7.47;64;3;113;5.53;0;0
46;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;33;26.07;80;14.27;20;7.58;57;3.11;201;3.58;0;0
47;"Universidade Estadual de Goiás (UEG)";GO;Pública;33;26.07;81;14.25;245;2.61;24;3.64;1;8;;
48;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;33;26.07;82;14.12;68;6.52;92;2.56;135;5.04;;
49;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;79;11.79;27;28.2;40;7.14;18;3.73;1;8;27;9.33
50;"Universidade Potiguar (UNP)";RN;Privada;12;32.59;234;7.36;190;3.82;;;203;3.54;;
51;"Universidade de Marília (UNIMAR)";SP;Privada;33;26.07;86;13.69;109;5.61;248;0.08;1;8;;
52;"Universidade Católica de Brasília (UCB)";DF;Privada;33;26.07;90;13.33;259;2.3;62;3.03;1;8;0;0
53;"Universidade Católica de Pelotas (UCPEL)";RS;Privada;33;26.07;94;13.04;123;5.3;58;3.1;153;4.64;0;0
54;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;33;26.07;102;12.69;137;4.99;90;2.59;132;5.11;;
55;"Universidade do Ceuma (UNICEUMA)";MA;Privada;33;26.07;104;12.59;197;3.67;195;0.92;1;8;;
56;"Centro Universitário Una (UNA)";MG;Privada;33;26.07;106;12.52;90;6.03;35;3.46;226;3.03;;
57;"Universidade Positivo (UP)";PR;Privada;33;26.07;110;12.45;47;6.98;163;1.43;180;4.04;;
58;"Universidade do Grande Rio Professor José de Souza Herdy (UNIGRANRIO)";RJ;Privada;33;26.07;112;12.22;153;4.64;154;1.57;91;6.01;;
59;"Universidade de Caxias do Sul (UCS)";RS;Privada;33;26.07;116;11.94;100;5.81;31;3.52;245;2.61;0;0
60;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;12;32.59;302;4.93;176;4.13;;;327;0.8;;
61;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;33;26.07;148;10.24;274;1.97;97;2.48;101;5.79;;
62;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;33;26.07;149;10.23;177;4.11;;;86;6.12;;
63;"Centro Universitário do Estado do Pará (CESUPA)";PA;Privada;33;26.07;151;10.15;222;3.12;147;1.68;121;5.35;;
64;"Centro Universitário de Várzea Grande (UNIVAG)";MT;Privada;33;26.07;159;9.57;125;5.26;;;168;4.31;;
64;"Universidade Anhanguera (UNIDERP)";MS;Privada;33;26.07;159;9.57;183;3.98;;;110;5.59;;
66;"Universidade de Passo Fundo (UPF)";RS;Privada;33;26.07;165;9.47;127;5.22;127;2;261;2.25;;
67;"Faculdade Pitágoras de Belo Horizonte (FPAS)";MG;Privada;33;26.07;188;8.69;269;2.08;151;1.62;137;4.99;;
68;"Universidade Tiradentes (UNIT)";SE;Privada;33;26.07;209;8.07;111;5.57;189;1.02;296;1.48;;
69;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;33;26.07;215;7.85;233;2.87;74;2.84;266;2.14;;
70;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;33;26.07;235;7.3;191;3.8;205;0.76;239;2.74;;
71;"Centro Universitário de Anápolis (UNIEVANGÉLICA)";GO;Privada;33;26.07;243;6.94;215;3.27;123;2.06;290;1.61;;
72;"Centro Universitário do Triângulo (UNITRI)";MG;Privada;33;26.07;247;6.85;261;2.25;165;1.4;218;3.2;;
73;"Centro Universitário São Camilo (SAO CAMILO)";SP;Privada;33;26.07;259;6.43;131;5.13;;;304;1.3;0;0
74;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;79;11.79;30;20.63;126;5.24;122;2.08;183;3.98;27;9.33
75;"Universidade José do Rosário Vellano (UNIFENAS)";MG;Privada;33;26.07;284;5.47;287;1.68;137;1.84;275;1.95;;
76;"Faculdades Adamantinenses Integradas (FAI)";SP;Pública;33;26.07;294;5.14;266;2.14;217;0.57;253;2.43;;
77;"Universidade Presidente Antônio Carlos (UNIPAC)";MG;Privada;33;26.07;298;5.03;295;1.5;135;1.87;288;1.66;;
78;"Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória (EMESCAM)";ES;Privada;33;26.07;299;5.01;311;1.15;173;1.27;246;2.59;;
79;"Universidade Federal de São João Del Rei (UFSJ)";MG;Pública;79;11.79;34;19.19;27;7.43;16;3.76;1;8;0;0
80;"Universidade Estadual de Ponta Grossa (UEPG)";PR;Pública;79;11.79;37;18.68;58;6.74;5;3.94;1;8;0;0
81;"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)";MG;Pública;79;11.79;38;18.61;41;7.12;33;3.49;1;8;0;0
82;"Universidade Federal do Piauí (UFPI)";PI;Pública;79;11.79;40;18.33;69;6.5;12;3.83;1;8;;
83;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;79;11.79;43;18.18;55;6.81;41;3.37;1;8;;
84;"Centro Universitário Cesmac (CESMAC)";AL;Privada;33;26.07;334;3.64;284;1.75;204;0.78;313;1.11;;
85;"Universidade Federal do Maranhão (UFMA)";MA;Pública;79;11.79;48;17.25;106;5.68;28;3.57;1;8;;
86;"Universidade Salvador (UNIFACS)";BA;Privada;33;26.07;350;2.56;262;2.23;;;348;0.33;;
87;"Centro Universitário Facvest (FACVEST)";SC;Privada;79;11.79;54;16.44;56;6.79;149;1.65;1;8;;
88;"Instituto Superior de Teologia Aplicada (INTA)";CE;Privada;79;11.79;59;15.94;92;5.99;130;1.95;1;8;;
89;"Universidade Estadual do Centro Oeste (UNICENTRO)";PR;Pública;79;11.79;65;15.15;66;6.56;10;3.86;149;4.73;;
90;"Universidade Estadual de Feira de Santana (UEFS)";BA;Pública;79;11.79;70;14.88;129;5.17;145;1.71;1;8;0;0
91;"Centro Universitário Franciscano (UNIFRA)";RS;Privada;79;11.79;77;14.57;93;5.97;84;2.68;95;5.92;;
92;"Universidade Tuiuti do Paraná (UTP)";PR;Privada;79;11.79;82;14.12;48;6.96;54;3.16;182;4;0;0
93;"Universidade de Franca (UNIFRAN)";SP;Privada;79;11.79;88;13.46;51;6.9;72;2.87;196;3.69;0;0
94;"Centro Universitário de Araraquara (UNIARA)";SP;Privada;79;11.79;98;12.84;44;7.05;75;2.83;229;2.96;;
95;"Universidade da Região de Joinville (UNIVILLE)";SC;Pública;79;11.79;99;12.78;158;4.53;87;2.64;109;5.61;;
96;"Centro Universitário da Grande Dourados (UNIGRAN)";MS;Privada;79;11.79;107;12.49;140;4.93;47;3.27;169;4.29;0;0
97;"Universidade São Judas Tadeu (USJT)";SP;Privada;79;11.79;119;11.71;76;6.34;71;2.89;251;2.48;;
98;"Universidade do Extremo Sul Catarinense (UNESC)";SC;Privada;79;11.79;126;11.19;199;3.62;99;2.44;131;5.13;0;0
99;"Universidade de Sorocaba (UNISO)";SP;Privada;79;11.79;128;11.13;46;7.01;109;2.29;280;1.83;;
