Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.57;1;60.61;7;7.68;39;2.76;1;8;2;42.17
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;59.89;3;7.89;;;1;8;1;44
3;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.57;3;59.51;6;7.73;18;3.45;1;8;3;40.33
4;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;5;34.29;4;58.21;4;7.84;5;3.87;1;8;4;38.5
5;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;5;34.29;7;52.35;42;5.81;10;3.71;1;8;6;34.83
6;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;8;33;6;53.49;12;7.41;24;3.25;1;8;6;34.83
7;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;17;29.14;5;56.6;11;7.47;43;2.63;1;8;4;38.5
8;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.57;10;46.5;5;7.79;58;2.15;117;1.73;6;34.83
9;"Universidade Federal do Ceará (UFC)";CE;Pública;8;33;11;45.7;32;6.35;62;2.02;1;8;9;29.33
10;"Universidade de Brasília (UNB)";DF;Pública;17;29.14;8;47.7;17;7.15;25;3.22;1;8;9;29.33
11;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;17;29.14;9;47.06;40;5.92;7;3.81;1;8;9;29.33
12;"Universidade Federal Fluminense (UFF)";RJ;Pública;8;33;13;40.41;18;7.09;22;3.32;1;8;13;22
13;"Universidade Federal do Paraná (UFPR)";PR;Pública;8;33;14;39.88;9;7.57;53;2.31;1;8;13;22
14;"Universidade Federal de Goiás (UFG)";GO;Pública;8;33;19;37.15;48;5.49;73;1.66;1;8;13;22
15;"Universidade Federal da Bahia (UFBA)";BA;Pública;8;33;20;35.89;93;3.09;38;2.8;1;8;13;22
16;"Universidade Estadual de Londrina (UEL)";PR;Pública;17;29.14;17;39.06;28;6.56;47;2.5;1;8;13;22
17;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;17;29.14;18;38.46;46;5.6;36;2.86;1;8;13;22
18;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;8;33;21;33.25;13;7.36;79;1.46;104;2.43;13;22
19;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;29;24;12;41.45;15;7.25;1;4;133;0.87;9;29.33
20;"Universidade Federal de Uberlândia (UFU)";MG;Pública;29;24;15;39.87;16;7.2;42;2.67;1;8;13;22
21;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;29;24;16;39.3;21;6.93;51;2.37;1;8;13;22
22;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;8;33;24;29.21;43;5.76;101;0.75;136;0.7;13;22
23;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;29;24;22;32.07;47;5.55;30;3.06;122;1.46;13;22
24;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;29;24;23;30.34;81;3.73;32;2.99;119;1.62;13;22
25;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;5;34.29;84;12.14;26;6.67;27;3.15;106;2.32;;
26;"Universidade Estadual do Ceará (UECE)";CE;Pública;8;33;68;13.37;76;4;82;1.37;1;8;;
27;"Universidade Federal da Paraíba (UFPB)";PB;Pública;17;29.14;37;16.4;33;6.29;59;2.11;1;8;0;0
28;"Universidade Estadual de Maringá (UEM)";PR;Pública;17;29.14;44;15.8;51;5.33;48;2.47;1;8;0;0
29;"Universidade Federal do Pará (UFPA)";PA;Pública;17;29.14;53;15.08;53;5.23;67;1.85;1;8;0;0
30;"Universidade Federal de Viçosa (UFV)";MG;Pública;29;24;28;18.33;25;6.72;13;3.61;1;8;0;0
31;"Universidade Federal do Piauí (UFPI)";PI;Pública;17;29.14;76;12.57;72;4.21;113;0.36;1;8;;
32;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;29;24;32;17.59;34;6.24;21;3.35;1;8;0;0
33;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;29;24;34;16.59;27;6.61;63;1.98;1;8;;
34;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;29;24;35;16.58;20;6.99;75;1.59;1;8;;
