Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;3;35.2;2;62.32;5;7.93;12;3.86;1;8;2;42.53
2;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;6;34;1;62.37;7;7.89;5;3.95;1;8;2;42.53
3;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
4;"Universidade de Brasília (UNB)";DF;Pública;6;34;4;59.28;10;7.84;13;3.84;1;8;4;39.6
5;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;6;34;6;56.42;11;7.82;28;3.65;148;5.35;4;39.6
6;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;3;35.2;10;54.13;9;7.86;72;3.07;1;8;7;35.2
7;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;6;34;7;55.15;3;7.96;2;3.99;1;8;7;35.2
8;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;6;34;9;54.49;36;7.37;7;3.92;1;8;7;35.2
9;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;6;34;12;49.01;12;7.8;10;3.88;1;8;11;29.33
10;"Universidade Estadual de Londrina (UEL)";PR;Pública;6;34;13;48.84;19;7.68;14;3.83;1;8;11;29.33
11;"Universidade Federal do Paraná (UFPR)";PR;Pública;6;34;14;47.95;27;7.53;71;3.09;1;8;11;29.33
12;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;37;21.6;5;58.89;2;7.98;54;3.31;1;8;4;39.6
13;"Universidade Nove de Julho (UNINOVE)";SP;Privada;6;34;16;45.28;91;6.39;62;3.2;92;6.36;11;29.33
14;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;6;34;21;40.44;187;4.66;61;3.22;266;3.23;11;29.33
15;"Universidade Federal de Alfenas (UNIFAL-MG)";MG;Pública;37;21.6;11;49.1;8;7.87;9;3.9;1;8;11;29.33
16;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;37;21.6;15;47.49;63;6.89;57;3.27;1;8;11;29.33
17;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;37;21.6;18;44.8;15;7.75;74;3.05;186;4.67;11;29.33
18;"Universidade Metodista de Piracicaba (UNIMEP)";SP;Privada;37;21.6;22;40.31;22;7.62;130;2.31;387;1.05;11;29.33
19;"Universidade Federal do Ceará (UFC)";CE;Pública;6;34;24;24.8;83;6.53;;;1;8;24;10.27
20;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;3;35.2;27;21;142;5.47;95;2.77;307;2.49;24;10.27
21;"Fundação Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA)";RS;Pública;;;8;55.11;6;7.91;1;4;1;8;7;35.2
22;"Universidade de Fortaleza (UNIFOR)";CE;Privada;6;34;28;20.33;173;4.92;158;1.95;268;3.19;24;10.27
23;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;6;34;29;19.55;107;6.1;93;2.8;424;0.38;24;10.27
24;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;6;34;30;19.51;25;7.57;6;3.94;1;8;0;0
25;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;6;34;39;18.2;90;6.4;16;3.8;1;8;0;0
26;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;6;34;55;16.06;41;7.28;65;3.16;133;5.62;0;0
27;"Universidade Paulista (UNIP)";SP;Privada;1;36;99;13.82;175;4.88;42;3.46;141;5.48;0;0
28;"Universidade de Marília (UNIMAR)";SP;Privada;6;34;66;15.44;70;6.76;255;0.68;1;8;0;0
29;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;6;34;68;15.35;37;7.35;;;1;8;0;0
30;"Universidade Federal de Goiás (UFG)";GO;Pública;6;34;78;14.8;68;6.8;;;1;8;;
31;"Centro Universitário São Camilo (SAO CAMILO)";SP;Privada;6;34;94;13.93;148;5.36;25;3.69;174;4.88;0;0
32;"Universidade Federal do Pará (UFPA)";PA;Pública;6;34;101;13.65;132;5.65;;;1;8;;
33;"Universidade Federal da Bahia (UFBA)";BA;Pública;6;34;104;13.53;139;5.53;;;1;8;0;0
34;"Universidade Católica de Brasília (UCB)";DF;Privada;6;34;142;11.81;271;3.16;67;3.14;139;5.51;;
35;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;37;21.6;25;23.65;71;6.74;160;1.92;183;4.72;24;10.27
36;"Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI)";RS;Privada;37;21.6;26;23.5;131;5.67;29;3.63;227;3.93;24;10.27
37;"Universidade Federal do Triângulo Mineiro (UFTM)";MG;Pública;0;0;17;44.99;20;7.66;;;1;8;11;29.33
38;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;6;34;224;9.21;318;2.31;143;2.14;181;4.76;;
39;"Universidade Tiradentes (UNIT)";SE;Privada;6;34;227;9.2;151;5.31;138;2.21;352;1.68;;
40;"Universidade Estácio de Sá (UNESA)";RJ;Privada;6;34;232;8.99;199;4.45;252;0.72;233;3.82;;
41;"Universidade do Estado do Pará (UEPA)";PA;Pública;6;34;248;8.48;320;2.28;;;101;6.2;0;0
42;"Universidade Salvador (UNIFACS)";BA;Privada;6;34;290;7.1;184;4.72;226;1.06;372;1.32;;
43;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;37;21.6;32;19.46;13;7.79;26;3.67;1;8;0;0
44;"Fundação Universidade do Estado de Santa Catarina (UDESC)";SC;Pública;0;0;19;40.87;49;7.14;78;2.99;367;1.41;11;29.33
45;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;;;20;40.73;58;6.98;96;2.76;353;1.66;11;29.33
46;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;37;21.6;34;18.94;32;7.44;39;3.5;1;8;0;0
47;"Universidade Federal da Paraíba (UFPB)";PB;Pública;37;21.6;36;18.58;73;6.71;11;3.87;1;8;0;0
48;"Centro Universitário Facvest (FACVEST)";SC;Privada;37;21.6;38;18.23;30;7.48;97;2.75;1;8;;
49;"Universidade Federal de Sergipe (UFS)";SE;Pública;37;21.6;41;18.05;44;7.23;91;2.82;1;8;0;0
50;"Centro Universitário Metodista (IPA)";RS;Privada;0;0;23;39.35;82;6.55;105;2.64;399;0.83;11;29.33
51;"Universidade Potiguar (UNP)";RN;Privada;6;34;373;5.09;337;1.97;;;272;3.12;;
52;"Universidade Federal de Uberlândia (UFU)";MG;Pública;37;21.6;46;17.41;33;7.43;22;3.73;98;6.25;;
53;"Universidade Presidente Antônio Carlos (UNIPAC)";MG;Privada;6;34;381;4.69;371;1.36;204;1.35;335;1.98;;
54;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;6;34;385;4.52;286;2.89;222;1.11;416;0.52;;
55;"Instituto Superior de Teologia Aplicada (INTA)";CE;Privada;37;21.6;51;16.78;35;7.39;201;1.39;1;8;;
56;"Universidade São Judas Tadeu (USJT)";SP;Privada;37;21.6;59;15.86;23;7.61;113;2.54;128;5.71;;
57;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;37;21.6;67;15.37;210;4.25;68;3.12;1;8;;
58;"Universidade Federal do Amazonas (UFAM)";AM;Pública;37;21.6;69;15.23;180;4.79;120;2.44;1;8;;
59;"Universidade Católica de Pelotas (UCPEL)";RS;Privada;37;21.6;73;14.98;75;6.67;75;3.03;152;5.28;;
60;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;37;21.6;74;14.93;60;6.94;43;3.45;193;4.54;;
61;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;37;21.6;75;14.89;99;6.24;115;2.51;104;6.14;;
62;"Universidade Positivo (UP)";PR;Privada;37;21.6;76;14.87;79;6.6;20;3.75;194;4.52;;
63;"Centro Universitário do Rio Grande do Norte (UNI-RN)";RN;Privada;37;21.6;77;14.82;67;6.82;;;1;8;;
64;"Universidade Federal do Piauí (UFPI)";PI;Pública;37;21.6;84;14.57;285;2.91;27;3.66;1;8;0;0
65;"Universidade de Franca (UNIFRAN)";SP;Privada;37;21.6;93;13.94;98;6.26;127;2.35;149;5.33;0;0
66;"Centro Universitário de Belo Horizonte (UNI-BH)";MG;Privada;37;21.6;103;13.54;117;5.92;49;3.37;209;4.25;0;0
67;"Universidade do Ceuma (UNICEUMA)";MA;Privada;37;21.6;105;13.51;204;4.36;219;1.15;1;8;;
68;"Universidade Veiga de Almeida (UVA)";RJ;Privada;37;21.6;122;12.91;147;5.38;76;3.02;195;4.51;0;0
69;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;37;21.6;134;12.2;198;4.47;164;1.87;120;5.86;;
70;"Universidade de Caxias do Sul (UCS)";RS;Privada;37;21.6;139;11.97;105;6.14;36;3.54;318;2.29;;
71;"Universidade Estadual do Centro Oeste (UNICENTRO)";PR;Pública;37;21.6;151;11.31;128;5.72;;;135;5.59;;
72;"Universidade Comunitária da Região de Chapecó (UNOCHAPECÓ)";SC;Pública;37;21.6;155;11.25;301;2.62;128;2.34;96;6.29;;
73;"Faculdades Adamantinenses Integradas (FAI)";SP;Pública;37;21.6;165;10.83;115;5.96;;;175;4.87;;
74;"Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória (EMESCAM)";ES;Privada;37;21.6;170;10.58;217;4.13;109;2.59;231;3.86;;
75;"Universidade Anhanguera (UNIDERP)";MS;Privada;37;21.6;178;10.46;310;2.46;;;1;8;;
75;"Centro Universitário Filadélfia (UNIFIL)";PR;Privada;37;21.6;178;10.46;297;2.69;34;3.57;212;4.2;;
77;"Universidade do Sagrado Coração (USC)";SP;Privada;37;21.6;182;10.37;18;7.7;266;0.54;327;2.13;0;0
78;"Centro Universitário do Estado do Pará (CESUPA)";PA;Privada;37;21.6;197;9.81;333;2.05;79;2.98;180;4.78;;
79;"Universidade Regional de Blumenau (FURB)";SC;Pública;37;21.6;199;9.77;125;5.78;46;3.41;413;0.58;0;0
80;"Universidade da Amazônia (UNAMA)";PA;Privada;37;21.6;209;9.52;201;4.41;191;1.52;246;3.59;;
81;"Universidade de Passo Fundo (UPF)";RS;Privada;37;21.6;217;9.32;160;5.15;145;2.12;331;2.05;0;0
82;"Universidade do Vale do Paraíba (UNIVAP)";SP;Privada;37;21.6;219;9.27;29;7.5;;;347;1.77;;
83;"Centro Universitário de Anápolis (UNIEVANGÉLICA)";GO;Privada;37;21.6;228;9.17;231;3.87;84;2.92;313;2.38;;
84;"Universidade de Santo Amaro (UNISA)";SP;Privada;37;21.6;240;8.74;152;5.29;148;2.08;369;1.37;;
85;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;37;21.6;255;8.3;214;4.18;258;0.64;252;3.48;;
86;"Universidade Anhanguera de São Paulo (UNIAN)";SP;Privada;37;21.6;258;8.13;304;2.57;248;0.77;179;4.79;;
87;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;37;21.6;296;6.97;183;4.74;212;1.24;390;0.99;;
88;"Universidade Castelo Branco (UCB)";RJ;Privada;37;21.6;300;6.91;192;4.57;270;0.48;342;1.86;;
89;"Centro Universitário do Triângulo (UNITRI)";MG;Privada;37;21.6;307;6.76;348;1.78;134;2.26;294;2.72;0;0
90;"Faculdade de Minas (FAMINAS)";MG;Privada;37;21.6;314;6.69;232;3.86;;;288;2.83;;
91;"Universidade Católica do Salvador (UCSAL)";BA;Privada;37;21.6;330;6.25;263;3.3;200;1.4;359;1.55;;
92;"Centro Universitário Anhanguera de São Paulo";SP;Privada;37;21.6;353;5.65;410;0.66;;;168;4.99;;
93;"Centro Universitário Cesmac (CESMAC)";AL;Privada;37;21.6;366;5.36;346;1.81;87;2.88;408;0.67;;
94;"Faculdade de Ciências Médicas de Minas Gerais (FCMMG)";MG;Privada;37;21.6;383;4.62;223;4.02;;;412;0.6;;
95;"Centro Universitário Estácio do Ceará (FIC)";CE;Privada;37;21.6;414;3.42;367;1.44;236;0.93;387;1.05;;
96;"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)";MG;Pública;;;30;19.51;16;7.73;18;3.78;1;8;;
97;"Faculdade de Medicina do Abc (FMABC)";SP;Privada;0;0;33;19.11;38;7.34;19;3.77;1;8;;
98;"Fundação Universidade Federal do Pampa (UNIPAMPA)";RS;Pública;;;35;18.94;31;7.46;41;3.48;1;8;0;0
99;"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro (IFRJ)";RJ;Pública;;;37;18.42;52;7.09;52;3.33;1;8;0;0
100;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;0;0;40;18.08;103;6.17;8;3.91;1;8;;
101;"Universidade Tuiuti do Paraná (UTP)";PR;Privada;;;42;17.91;229;3.91;285;0.29;254;3.44;24;10.27
102;"Faculdade Redentor (FACREDENTOR)";RJ;Privada;0;0;43;17.62;102;6.19;45;3.43;1;8;;
103;"Universidade de Pernambuco (UPE)";PE;Pública;0;0;44;17.59;133;5.63;4;3.96;1;8;;
104;"Centro Universitário Barão de Mauá (CBM)";SP;Privada;0;0;45;17.45;86;6.48;80;2.97;1;8;;
105;"Faculdade de Ciências Sociais e Agrárias de Itapeva (FAIT)";SP;Privada;0;0;47;17.4;34;7.41;155;1.99;1;8;;
106;"Universidade Feevale (FEEVALE)";RS;Privada;;;48;17.13;80;6.58;112;2.55;1;8;0;0
107;"Centro Universitário Christus (UNICHRISTUS)";CE;Privada;0;0;49;16.9;124;5.79;69;3.11;1;8;;
108;"Faculdade de Ciências Médicas de Campina Grande (FCM)";PB;Privada;;;50;16.86;97;6.28;110;2.58;1;8;;
109;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;0;0;52;16.6;40;7.3;30;3.62;130;5.68;0;0
110;"Universidade do Estado da Bahia (UNEB)";BA;Pública;0;0;53;16.41;185;4.7;23;3.71;1;8;;
111;"Faculdade Dom Pedro Ii (FDPII)";BA;Privada;;;54;16.07;46;7.19;240;0.88;1;8;;
112;"Faculdade de Pindamonhangaba (FAPI)";SP;Privada;;;56;15.96;66;6.83;33;3.58;137;5.55;;
113;"Faculdade de Comunicação e Turismo de Olinda (FACOTTUR)";PE;Privada;;;57;15.95;4;7.95;;;1;8;;
114;"Centro Universitário Euro-Americano (UNIEURO)";DF;Privada;0;0;58;15.94;28;7.52;275;0.42;1;8;;
115;"Faculdades Integradas de Ciências Humanas, Saúde e Educação de Guarulhos (FG)";SP;Privada;0;0;60;15.73;45;7.21;267;0.52;1;8;;
116;"Faculdade de Ciências Humanas e Sociais (FACULDADE AGES)";BA;Privada;;;61;15.64;21;7.64;;;1;8;;
117;"Faculdade Ateneu (FATE)";CE;Privada;;;62;15.55;26;7.55;;;1;8;;
118;"Universidade Estadual do Piauí (UESPI)";PI;Pública;0;0;63;15.5;250;3.53;3;3.97;1;8;;
