Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.62;1;61.72;7;7.76;12;3.72;1;8;2;42.24
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;60;1;8;;;1;8;1;44
3;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.62;3;58.82;6;7.8;129;0.78;1;8;2;42.24
4;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.62;5;55.96;2;7.96;87;1.84;97;3.92;2;42.24
5;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;6;34.11;4;56.48;3;7.92;17;3.6;1;8;5;36.96
6;"Universidade de Brasília (UNB)";DF;Pública;11;32.21;6;53.66;8;7.72;51;2.74;1;8;6;35.2
7;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;11;32.21;7;53.55;18;7.31;39;3.04;1;8;6;35.2
8;"Universidade Federal Fluminense (UFF)";RJ;Pública;6;34.11;8;51.57;5;7.84;139;0.53;1;8;6;35.2
9;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;6;34.11;9;48.79;17;7.35;59;2.54;102;3.7;6;35.2
10;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;6;34.11;11;45.41;23;7.11;75;2.14;1;8;10;28.16
11;"Universidade Federal de Uberlândia (UFU)";MG;Pública;21;28.42;10;46.18;12;7.55;62;2.47;1;8;10;28.16
12;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;21;28.42;12;44.3;25;7.03;116;1.11;1;8;10;28.16
13;"Universidade Federal do Paraná (UFPR)";PR;Pública;11;32.21;13;40.49;14;7.47;5;3.9;1;8;14;21.12
14;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;2;35.62;21;36.47;51;5.97;155;0.13;137;2.21;10;28.16
15;"Universidade Federal de Goiás (UFG)";GO;Pública;11;32.21;19;37.12;39;6.46;99;1.54;1;8;14;21.12
16;"Universidade Federal da Bahia (UFBA)";BA;Pública;11;32.21;20;37.07;97;4.1;7;3.85;1;8;14;21.12
17;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;21;28.42;14;40.34;19;7.27;3;3.95;1;8;14;21.12
18;"Universidade Estadual de Londrina (UEL)";PR;Pública;21;28.42;16;39.28;16;7.39;50;2.77;1;8;14;21.12
19;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;21;28.42;17;37.62;50;6.01;61;2.49;1;8;14;21.12
20;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;21;28.42;18;37.22;55;5.81;69;2.29;1;8;14;21.12
21;"Universidade Federal do Pará (UFPA)";PA;Pública;21;28.42;22;35.86;52;5.93;128;0.81;1;8;14;21.12
22;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;21;28.42;24;32.32;13;7.51;44;2.92;171;0.77;14;21.12
23;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;46;18.95;15;39.7;11;7.59;41;2.99;1;8;14;21.12
24;"Universidade Federal do Ceará (UFC)";CE;Pública;6;34.11;31;18.44;26;6.99;23;3.45;1;8;0;0
25;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;46;18.95;23;32.72;32;6.74;48;2.82;141;2.04;14;21.12
26;"Universidade Cruzeiro do Sul (UNICSUL)";SP;Privada;46;18.95;25;31.17;100;3.98;2;3.98;140;2.09;14;21.12
27;"Universidade Federal do Piauí (UFPI)";PI;Pública;11;32.21;49;16.28;87;4.51;10;3.77;1;8;0;0
28;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;21;28.42;33;17.88;34;6.66;32;3.22;1;8;0;0
29;"Universidade Federal de Viçosa (UFV)";MG;Pública;21;28.42;35;17.42;28;6.9;60;2.52;1;8;0;0
30;"Universidade Federal de Sergipe (UFS)";SE;Pública;21;28.42;37;17.14;38;6.5;55;2.64;1;8;0;0
31;"Universidade Estadual de Maringá (UEM)";PR;Pública;21;28.42;38;17.03;42;6.34;53;2.69;1;8;0;0
32;"Universidade Federal de Campina Grande (UFCG)";PB;Pública;21;28.42;46;16.55;45;6.21;67;2.34;1;8;;
33;"Universidade Federal do Maranhão (UFMA)";MA;Pública;21;28.42;48;16.5;76;4.95;19;3.55;1;8;0;0
34;"Universidade Estácio de Sá (UNESA)";RJ;Privada;11;32.21;80;12.31;73;5.08;25;3.4;99;3.83;0;0
35;"Universidade Federal da Paraíba (UFPB)";PB;Pública;21;28.42;53;15.67;21;7.19;141;0.48;1;8;0;0
36;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;11;32.21;89;11.47;57;5.73;52;2.72;118;3.02;0;0
37;"Universidade Federal de Alagoas (UFAL)";AL;Pública;21;28.42;58;14.91;54;5.85;118;1.06;1;8;;
38;"Universidade Estadual do Ceará (UECE)";CE;Pública;11;32.21;92;10.83;94;4.22;63;2.44;91;4.17;;
39;"Universidade Estadual do Vale do Acaraú (UVA)";CE;Pública;21;28.42;66;13.61;95;4.18;103;1.43;1;8;;
40;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;21;28.42;67;13.56;110;3.57;81;1.99;1;8;;
41;"Universidade do Estado da Bahia (UNEB)";BA;Pública;11;32.21;134;7.13;134;2.6;105;1.38;115;3.15;0;0
42;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;46;18.95;27;19.34;10;7.64;13;3.7;1;8;;
43;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;21;28.42;98;9.81;68;5.28;73;2.19;134;2.34;0;0
44;"Universidade Estadual de Goiás (UEG)";GO;Pública;21;28.42;99;9.79;183;0.61;113;1.18;1;8;0;0
45;"Universidade Estadual do Piauí (UESPI)";PI;Pública;21;28.42;101;9.68;182;0.65;119;1.03;1;8;0;0
46;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;21;28.42;108;9.2;67;5.32;43;2.94;167;0.94;0;0
47;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;46;18.95;34;17.67;40;6.42;31;3.25;1;8;0;0
48;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;46;18.95;42;16.77;29;6.86;84;1.91;1;8;0;0
49;"Universidade Estadual do Sudoeste da Bahia (UESB)";BA;Pública;46;18.95;44;16.63;61;5.56;38;3.07;1;8;;
50;"Universidade Estadual do Maranhão (UEMA)";MA;Pública;21;28.42;133;7.14;138;2.44;117;1.08;104;3.62;;
51;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;46;18.95;50;16.15;53;5.89;70;2.26;1;8;;
52;"Universidade de Pernambuco (UPE)";PE;Pública;21;28.42;142;6.47;151;1.91;114;1.16;109;3.4;;
53;"Universidade Federal do Amazonas (UFAM)";AM;Pública;46;18.95;51;15.73;66;5.36;66;2.37;1;8;0;0
54;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;46;18.95;55;15.12;35;6.62;140;0.5;1;8;;
