Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.72;2;60.37;15;7.76;73;3.2;1;8;2;41.41
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;59.98;2;7.98;;;1;8;1;44
3;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;6;34.59;1;61.28;5;7.93;6;3.94;1;8;2;41.41
4;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.72;4;55.98;10;7.85;11;3.89;1;8;4;36.24
5;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.72;5;51.85;6;7.92;88;3.03;195;4.66;4;36.24
6;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;10;33.47;6;50.79;12;7.81;8;3.92;1;8;6;31.06
7;"Universidade Federal do Paraná (UFPR)";PR;Pública;10;33.47;7;50.5;17;7.73;27;3.71;1;8;6;31.06
8;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;2;35.72;11;46.63;22;7.64;111;2.77;166;5.16;6;31.06
9;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;6;34.59;10;47.57;19;7.7;54;3.41;152;5.4;6;31.06
10;"Universidade de Brasília (UNB)";DF;Pública;18;31.22;8;50.07;36;7.41;37;3.6;1;8;6;31.06
11;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;18;31.22;9;49.99;32;7.48;50;3.45;1;8;6;31.06
12;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;35;26.44;12;45.18;37;7.39;16;3.83;297;2.9;6;31.06
13;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;6;34.59;14;31.7;39;7.36;55;3.4;1;8;13;12.94
14;"Universidade Federal do Ceará (UFC)";CE;Pública;10;33.47;13;31.99;25;7.59;49;3.46;1;8;13;12.94
15;"Universidade Federal de Goiás (UFG)";GO;Pública;10;33.47;15;27.71;112;6.12;301;0.65;1;8;13;12.94
16;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;10;33.47;17;25.31;41;7.32;52;3.43;371;1.62;13;12.94
17;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;18;31.22;16;26.19;29;7.53;28;3.7;348;2.02;13;12.94
18;"Universidade Federal Fluminense (UFF)";RJ;Pública;6;34.59;44;17.74;8;7.88;193;1.86;1;8;;
19;"Universidade Federal da Bahia (UFBA)";BA;Pública;10;33.47;33;18.55;71;6.81;24;3.74;1;8;0;0
20;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;18;31.22;28;19.29;16;7.75;42;3.54;1;8;;
21;"Universidade Estadual de Londrina (UEL)";PR;Pública;18;31.22;34;18.51;33;7.46;86;3.05;1;8;0;0
22;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;18;31.22;43;17.82;67;6.88;96;2.94;1;8;;
23;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;10;33.47;69;15.54;35;7.42;5;3.96;224;4.16;0;0
24;"Universidade Federal da Paraíba (UFPB)";PB;Pública;18;31.22;47;17.53;46;7.24;154;2.29;1;8;0;0
25;"Universidade Federal do Piauí (UFPI)";PI;Pública;18;31.22;57;16.55;119;6;131;2.55;1;8;;
26;"Universidade Federal do Maranhão (UFMA)";MA;Pública;18;31.22;62;16.01;178;5;90;3.01;1;8;;
27;"Universidade Estácio de Sá (UNESA)";RJ;Privada;10;33.47;117;13.27;104;6.25;118;2.69;214;4.33;0;0
28;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;35;26.44;18;19.89;7;7.9;2;3.99;1;8;0;0
