Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;59.87;6;7.87;;;1;8;1;44
2;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.69;1;60.17;12;7.72;12;3.83;1;8;3;40.62
3;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.69;3;59.22;10;7.77;185;1.14;1;8;2;42.31
4;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;6;34.44;4;58.51;7;7.85;18;3.74;1;8;4;38.92
5;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.69;6;54.03;9;7.8;31;3.53;162;3.78;4;38.92
6;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;10;33.18;5;54.93;14;7.67;19;3.72;1;8;6;35.54
7;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;6;34.44;10;50.76;41;6.98;25;3.63;1;8;8;32.15
8;"Universidade de Brasília (UNB)";DF;Pública;10;33.18;7;51.68;16;7.62;7;3.91;1;8;8;32.15
9;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;10;33.18;8;51.39;13;7.69;30;3.55;1;8;8;32.15
10;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;22;29.43;9;50.81;31;7.24;38;3.42;1;8;8;32.15
11;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;22;29.43;11;48.73;17;7.59;1;4;245;1.6;6;35.54
12;"Universidade Federal do Paraná (UFPR)";PR;Pública;10;33.18;12;44.16;15;7.64;57;3.13;1;8;12;25.39
13;"Universidade Federal do Ceará (UFC)";CE;Pública;10;33.18;14;42.85;28;7.31;120;2.15;1;8;12;25.39
14;"Universidade Federal Fluminense (UFF)";RJ;Pública;6;34.44;20;36.91;20;7.52;80;2.77;1;8;16;18.62
15;"Universidade Federal de Goiás (UFG)";GO;Pública;10;33.18;21;35.69;50;6.75;109;2.32;1;8;16;18.62
16;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;40;23.79;13;43.66;27;7.34;70;2.93;1;8;12;25.39
17;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;22;29.43;16;37.2;23;7.44;56;3.14;1;8;16;18.62
18;"Universidade Estadual de Londrina (UEL)";PR;Pública;22;29.43;19;36.95;29;7.29;63;3.04;1;8;16;18.62
19;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;6;34.44;25;30.4;44;6.9;10;3.86;267;1.02;16;18.62
20;"Universidade Estadual de Maringá (UEM)";PR;Pública;22;29.43;22;35.2;22;7.47;187;1.11;1;8;16;18.62
21;"Universidade Federal de Uberlândia (UFU)";MG;Pública;22;29.43;24;34.09;25;7.39;64;3.02;113;5.06;16;18.62
22;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;40;23.79;15;38.37;51;6.73;3;3.97;219;2.28;12;25.39
23;"Universidade Federal de Viçosa (UFV)";MG;Pública;40;23.79;16;37.2;36;7.11;35;3.47;1;8;16;18.62
24;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;40;23.79;23;34.13;42;6.96;15;3.78;124;4.77;16;18.62
25;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;40;23.79;26;30.34;117;5.05;27;3.6;189;3.07;16;18.62
26;"Universidade Federal da Bahia (UFBA)";BA;Pública;10;33.18;42;17.27;82;5.94;44;3.33;1;8;;
27;"Universidade Federal da Paraíba (UFPB)";PB;Pública;22;29.43;42;17.27;26;7.36;135;1.91;1;8;;
28;"Universidade Federal de Alagoas (UFAL)";AL;Pública;22;29.43;52;16.52;46;6.85;151;1.67;1;8;0;0
29;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;22;29.43;55;16.4;60;6.5;136;1.9;1;8;;
30;"Universidade Federal do Maranhão (UFMA)";MA;Pública;22;29.43;56;16.29;96;5.58;84;2.71;1;8;;
31;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;10;33.18;110;12.05;130;4.71;16;3.77;170;3.57;;
32;"Universidade Federal do Pará (UFPA)";PA;Pública;22;29.43;71;14.94;72;6.19;210;0.75;1;8;0;0
33;"Universidade Estácio de Sá (UNESA)";RJ;Privada;10;33.18;129;11.13;115;5.1;61;3.07;193;2.96;;
34;"Universidade Estadual do Ceará (UECE)";CE;Pública;10;33.18;146;10.42;213;2.6;69;2.94;120;4.88;;
35;"Universidade Federal do Piauí (UFPI)";PI;Pública;22;29.43;80;14.14;118;5.02;186;1.12;1;8;;
36;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;5;34.75;185;8.53;135;4.59;115;2.23;241;1.71;0;0
37;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;40;23.79;33;18.7;21;7.49;52;3.21;1;8;0;0
38;"Universidade Paulista (UNIP)";SP;Privada;22;29.43;107;12.16;84;5.89;118;2.18;150;4.09;0;0
39;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;40;23.79;39;17.42;45;6.88;95;2.54;1;8;0;0
40;"Universidade Federal de Campina Grande (UFCG)";PB;Pública;40;23.79;40;17.32;56;6.6;83;2.72;1;8;0;0
41;"Universidade Estadual de Ponta Grossa (UEPG)";PR;Pública;40;23.79;45;17.19;52;6.7;98;2.49;1;8;0;0
42;"Universidade Estadual do Piauí (UESPI)";PI;Pública;22;29.43;117;11.53;228;2.22;174;1.31;1;8;;
43;"Universidade Católica de Brasília (UCB)";DF;Privada;22;29.43;123;11.44;105;5.35;47;3.28;199;2.81;;
44;"Universidade Federal Rural de Pernambuco (UFRPE)";PE;Pública;40;23.79;47;17.07;63;6.42;88;2.65;1;8;;
45;"Universidade do Grande Rio Professor José de Souza Herdy (UNIGRANRIO)";RJ;Privada;40;23.79;48;16.77;76;6.09;86;2.68;1;8;;
46;"Universidade Federal de Sergipe (UFS)";SE;Pública;40;23.79;50;16.71;85;5.86;75;2.85;1;8;;
47;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;40;23.79;54;16.43;109;5.25;54;3.18;1;8;0;0
48;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;40;23.79;59;15.98;74;6.14;140;1.84;1;8;;
49;"Universidade do Estado da Bahia (UNEB)";BA;Pública;10;33.18;239;6.23;256;1.5;194;1;164;3.73;;
50;"Fundação Universidade Federal do Tocantins (UFT)";TO;Pública;40;23.79;75;14.77;69;6.27;226;0.5;1;8;;
51;"Universidade Regional do Cariri (URCA)";CE;Pública;40;23.79;83;13.76;139;4.48;176;1.28;1;8;;
51;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;40;23.79;84;13.76;89;5.76;;;1;8;;
53;"Universidade de Pernambuco (UPE)";PE;Pública;22;29.43;195;7.91;221;2.4;145;1.76;163;3.75;;
54;"Universidade Nove de Julho (UNINOVE)";SP;Privada;40;23.79;89;13.46;78;6.04;66;2.99;137;4.43;;
55;"Universidade Estadual de Feira de Santana (UEFS)";BA;Pública;40;23.79;93;13.38;129;4.74;217;0.64;1;8;;
56;"Universidade Tecnológica Federal do Paraná (UTFPR)";PR;Pública;0;0;18;37.11;53;6.68;13;3.81;1;8;16;18.62
57;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;40;23.79;102;12.59;181;3.41;182;1.18;1;8;;
58;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;22;29.43;228;6.61;108;5.27;;;255;1.34;;
