Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;3;34.5;1;63.49;6;7.78;11;3.71;1;8;1;44
2;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.25;2;61.14;5;7.82;1;4;62;5.32;1;44
3;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
4;"Universidade Federal de Viçosa (UFV)";MG;Pública;3;34.5;4;55.9;4;7.87;8;3.79;1;8;4;36.24
5;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;6;32.25;5;53.18;11;7.56;2;3.97;1;8;5;33.65
6;"Universidade Federal de Lavras (UFLA)";MG;Pública;14;26.25;5;53.18;9;7.65;5;3.88;1;8;5;33.65
7;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;3;34.5;9;44.76;23;7.03;6;3.85;1;8;8;25.88
8;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;14;26.25;7;52.01;25;6.95;21;3.41;1;8;5;33.65
9;"Universidade Federal do Paraná (UFPR)";PR;Pública;6;32.25;8;44.84;16;7.34;14;3.62;1;8;8;25.88
10;"Universidade Estadual de Londrina (UEL)";PR;Pública;6;32.25;10;44.27;27;6.86;17;3.53;1;8;8;25.88
11;"Universidade Federal de Uberlândia (UFU)";MG;Pública;6;32.25;13;42.21;18;7.25;18;3.5;56;5.58;8;25.88
12;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;14;26.25;11;44.16;10;7.6;46;2.68;1;8;8;25.88
13;"Universidade Federal de Goiás (UFG)";GO;Pública;14;26.25;12;43.88;30;6.73;26;3.27;1;8;8;25.88
14;"Fundação Universidade do Estado de Santa Catarina (UDESC)";SC;Pública;30;14.25;14;38;47;5.98;3;3.94;133;2.2;8;25.88
15;"Universidade Federal Fluminense (UFF)";RJ;Pública;6;32.25;21;18.59;17;7.3;25;3.29;1;8;0;0
16;"Universidade de Brasília (UNB)";DF;Pública;14;26.25;23;18.15;29;6.77;22;3.38;1;8;0;0
17;"Universidade Paulista (UNIP)";SP;Privada;6;32.25;62;12.1;83;4.4;20;3.44;86;4.26;0;0
18;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;6;32.25;76;10.49;69;5.01;45;2.71;120;2.77;;
19;"Universidade Federal Rural de Pernambuco (UFRPE)";PE;Pública;14;26.25;35;16.23;22;7.08;98;1.15;1;8;0;0
20;"Universidade Anhembi Morumbi (UAM)";SP;Privada;6;32.25;79;10.07;37;6.42;61;2.24;151;1.41;0;0
21;"Universidade Estadual de Maringá (UEM)";PR;Pública;30;14.25;15;25.73;14;7.43;51;2.53;1;8;15;7.77
22;"Universidade Federal da Bahia (UFBA)";BA;Pública;14;26.25;51;13.48;79;4.57;106;0.91;1;8;0;0
23;"Universidade de Marília (UNIMAR)";SP;Privada;14;26.25;56;12.76;52;5.76;71;1.94;68;5.06;;
24;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;14;26.25;59;12.55;78;4.62;29;3.18;75;4.75;;
25;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;14;26.25;74;10.82;102;3.56;65;2.12;66;5.14;0;0
26;"Centro Universitário Fundação de Ensino Octávio Bastos (UNIFEOB)";SP;Privada;14;26.25;91;9.24;80;4.53;80;1.68;114;3.03;;
27;"Universidade Estácio de Sá (UNESA)";RJ;Privada;14;26.25;97;8.73;99;3.69;63;2.18;118;2.86;;
28;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;14;26.25;98;8.54;84;4.35;93;1.29;117;2.9;0;0
29;"Universidade Estadual de Santa Cruz (UESC)";BA;Pública;30;14.25;28;17.17;42;6.2;36;2.97;1;8;;
30;"Faculdade de Jaguariúna (FAJ)";SP;Privada;14;26.25;149;4.68;145;1.67;87;1.47;148;1.54;;
31;"Universidade Federal de Alagoas (UFAL)";AL;Pública;30;14.25;33;16.65;53;5.71;37;2.94;1;8;;
32;"Universidade Estadual do Ceará (UECE)";CE;Pública;30;14.25;38;16;32;6.64;7;3.82;57;5.54;0;0
33;"Centro Universitário Cesmac (CESMAC)";AL;Privada;14;26.25;157;3.88;143;1.76;116;0.62;149;1.5;;
34;"Universidade de Uberaba (UNIUBE)";MG;Privada;30;14.25;40;15.71;85;4.31;127;0.29;107;3.34;15;7.77
35;"Universidade Federal de Mato Grosso do Sul (UFMS)";MS;Pública;30;14.25;41;15.65;34;6.55;13;3.65;59;5.45;0;0
36;"Universidade Castelo Branco (UCB)";RJ;Privada;14;26.25;169;3.21;121;2.73;125;0.35;180;0.13;;
37;"Universidade Federal de Sergipe (UFS)";SE;Pública;30;14.25;44;14.51;35;6.51;;;1;8;;
38;"Fundação Universidade Federal de Rondônia (UNIR)";RO;Pública;30;14.25;53;13.36;61;5.36;;;1;8;;
39;"Universidade Vila Velha (UVV)";ES;Privada;30;14.25;54;13.07;70;4.97;35;3;67;5.1;;
40;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;30;14.25;65;11.89;62;5.32;66;2.09;81;4.48;;
41;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;30;14.25;70;11.27;81;4.48;90;1.38;60;5.41;;
42;"Universidade Tuiuti do Paraná (UTP)";PR;Privada;30;14.25;82;9.95;108;3.3;44;2.74;94;3.91;;
43;"Universidade Luterana do Brasil (ULBRA)";RS;Privada;30;14.25;90;9.27;97;3.78;115;0.65;73;4.84;;
44;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;;;16;23.51;7;7.74;;;1;8;15;7.77
45;"Universidade Anhanguera (UNIDERP)";MS;Privada;30;14.25;96;8.81;128;2.42;75;1.82;79;4.57;;
46;"Faculdade Pio Décimo (FPD)";SE;Privada;30;14.25;109;7.88;110;3.21;68;2.03;123;2.64;;
47;"Faculdades Integradas da Upis (UPIS)";DF;Privada;30;14.25;111;7.76;122;2.68;69;2;113;3.08;;
48;"Universidade Anhanguera de São Paulo (UNIAN)";SP;Privada;30;14.25;115;7.5;98;3.74;117;0.59;111;3.17;;
49;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;0;0;17;19.11;12;7.52;15;3.59;1;8;0;0
50;"Fundação Universidade Federal do Pampa (UNIPAMPA)";RS;Pública;;;18;19.07;15;7.39;12;3.68;1;8;;
51;"Universidade Estadual do Norte Fluminense Darcy Ribeiro (UENF)";RJ;Pública;0;0;19;18.79;1;8;42;2.79;1;8;0;0
52;"Universidade Federal da Paraíba (UFPB)";PB;Pública;0;0;20;18.62;13;7.47;30;3.15;1;8;;
53;"Universidade Federal de Campina Grande (UFCG)";PB;Pública;0;0;22;18.33;21;7.12;28;3.21;1;8;0;0
