Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;5;34.22;1;62.05;4;7.89;7;3.85;1;8;2;42.31
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
3;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.56;2;60.31;3;7.92;10;3.77;1;8;3;40.62
4;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;35.56;4;58.08;7;7.77;25;3.39;1;8;4;38.92
5;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;5;34.22;5;54.5;12;7.58;;;1;8;4;38.92
6;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;5;34.22;6;54.18;5;7.85;20;3.52;109;3.89;4;38.92
7;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.56;7;52.08;10;7.66;57;2.57;1;8;7;33.85
8;"Universidade de Brasília (UNB)";DF;Pública;5;34.22;9;51.52;11;7.62;11;3.75;1;8;8;32.15
9;"Faculdade de Ciências Médicas da Santa Casa São Paulo (FCMSCSP)";SP;Privada;19;28;8;51.76;6;7.81;9;3.8;1;8;8;32.15
10;"Universidade Federal do Paraná (UFPR)";PR;Pública;19;28;12;50.77;16;7.43;33;3.19;1;8;8;32.15
11;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;5;34.22;18;43.81;36;6.67;28;3.31;167;1.68;8;32.15
12;"Universidade Estadual de Londrina (UEL)";PR;Pública;19;28;15;49.36;66;5.54;14;3.67;1;8;8;32.15
13;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;19;28;16;49.1;23;7.17;88;1.78;1;8;8;32.15
14;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;5;34.22;19;31.34;20;7.28;59;2.52;1;8;19;13.54
15;"Universidade Federal do Ceará (UFC)";CE;Pública;5;34.22;20;31.22;34;6.75;43;2.93;1;8;19;13.54
16;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;5;34.22;23;28.77;92;4.55;53;2.68;1;8;19;13.54
17;"Universidade Estadual de Maringá (UEM)";PR;Pública;56;11.56;11;51.14;25;7.09;5;3.9;1;8;8;32.15
18;"Universidade Federal do Triângulo Mineiro (UFTM)";MG;Pública;56;11.56;13;50.21;44;6.37;13;3.69;1;8;8;32.15
19;"Faculdade de Medicina de São José do Rio Preto (FAMERP)";SP;Pública;56;11.56;14;49.7;50;6.14;24;3.41;1;8;8;32.15
20;"Universidade Federal Fluminense (UFF)";RJ;Pública;19;28;21;30.53;30;6.9;76;2.09;1;8;19;13.54
21;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;19;28;22;29.8;99;4.28;2;3.98;1;8;19;13.54
22;"Faculdade de Medicina de Marília (FAMEMA)";SP;Pública;56;11.56;17;45.94;146;2.5;29;3.29;1;8;8;32.15
23;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;19;28;24;28.35;68;5.46;105;1.35;1;8;19;13.54
24;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;19;28;25;27.41;27;7.01;31;3.24;116;3.62;19;13.54
25;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;5;34.22;30;18.13;33;6.79;27;3.34;1;8;;
26;"Universidade Federal de Goiás (UFG)";GO;Pública;5;34.22;31;17.52;63;5.65;6;3.87;1;8;;
27;"Fundação Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA)";RS;Pública;0;0;10;51.17;13;7.55;22;3.47;1;8;8;32.15
28;"Universidade Federal da Bahia (UFBA)";BA;Pública;5;34.22;43;15.81;65;5.57;70;2.24;1;8;0;0
29;"Universidade de Pernambuco (UPE)";PE;Pública;5;34.22;44;15.76;49;6.18;96;1.58;1;8;0;0
30;"Universidade Federal do Pará (UFPA)";PA;Pública;5;34.22;62;13.65;90;4.63;118;1.02;1;8;;
31;"Universidade Federal de Uberlândia (UFU)";MG;Pública;19;28;29;18.28;45;6.33;3;3.95;1;8;0;0
32;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;19;28;32;17.23;32;6.83;64;2.4;1;8;0;0
33;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;19;28;33;17.01;80;5.01;1;4;1;8;;
34;"Universidade Federal de Alagoas (UFAL)";AL;Pública;19;28;36;16.71;57;5.88;47;2.83;1;8;0;0
35;"Universidade Federal de Sergipe (UFS)";SE;Pública;19;28;38;16.34;42;6.45;84;1.89;1;8;;
