Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.32;1;61.23;1;8;60;2.56;1;8;2;42.67
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;60;1;8;;;1;8;1;44
3;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.32;3;59.73;3;7.92;19;3.56;62;5.58;2;42.67
4;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;2;35.32;4;59.64;4;7.88;11;3.76;1;8;4;40
5;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.32;5;59.43;6;7.8;16;3.63;1;8;4;40
6;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;35.32;6;57.66;22;7.17;63;2.49;1;8;4;40
7;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;9;30.57;8;55.23;12;7.57;15;3.66;1;8;7;36
8;"Universidade Federal do Paraná (UFPR)";PR;Pública;9;30.57;9;54.77;8;7.72;40;3.05;1;8;7;36
9;"Faculdade de Odontologia São Leopoldo Mandic (SLMANDIC)";SP;Privada;9;30.57;12;53.58;5;7.84;1;4;58;5.74;7;36
10;"Universidade de Brasília (UNB)";DF;Pública;23;21.06;7;55.28;18;7.33;3;3.95;1;8;7;36
11;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;23;21.06;10;54.28;39;6.5;10;3.78;1;8;7;36
12;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;2;35.32;27;39.92;43;6.35;89;1.85;109;3.72;13;28
13;"Universidade Estadual de Londrina (UEL)";PR;Pública;23;21.06;11;54.18;28;6.94;32;3.24;1;8;7;36
14;"Universidade Federal da Bahia (UFBA)";BA;Pública;9;30.57;19;44.3;88;4.57;12;3.73;1;8;13;28
15;"Universidade Federal Fluminense (UFF)";RJ;Pública;9;30.57;21;43.39;37;6.58;132;0.81;1;8;13;28
16;"Universidade Nove de Julho (UNINOVE)";SP;Privada;9;30.57;24;40.57;66;5.44;64;2.46;85;4.67;13;28
17;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;9;30.57;28;39.78;47;6.19;41;3.02;138;2.57;13;28
18;"Universidade Luterana do Brasil (ULBRA)";RS;Privada;9;30.57;30;37.77;129;2.96;118;1.15;60;5.66;13;28
