Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.76;2;61;12;7.91;50;3.76;1;8;3;41.33
2;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;6;34.8;1;61.21;5;7.97;19;3.91;1;8;3;41.33
3;"Universidade de São Paulo (USP)";SP;Pública;1;36;3;60;1;8;;;1;8;1;44
4;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.76;5;58.6;10;7.93;;;1;8;2;42.67
5;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;6;34.8;4;59;13;7.9;128;3.38;195;6.39;3;41.33
6;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.76;7;54.79;7;7.95;42;3.8;277;5.71;6;37.33
7;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;16;32.4;6;56.91;8;7.94;75;3.64;1;8;6;37.33
8;"Universidade de Brasília (UNB)";DF;Pública;16;32.4;8;54.14;19;7.85;79;3.62;1;8;8;34.67
9;"Universidade Federal Fluminense (UFF)";RJ;Pública;6;34.8;10;51.2;15;7.89;416;1.98;1;8;9;33.33
10;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;2;35.76;13;47.18;146;6.82;77;3.63;556;3.4;9;33.33
11;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;29;29.28;9;53.26;8;7.94;3;3.99;1;8;9;33.33
12;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;6;34.8;14;46.43;35;7.72;157;3.24;708;2.14;9;33.33
