Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade de São Paulo (USP)";SP;Pública;1;36;1;60;1;8;;;1;8;1;44
2;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;35.8;2;59.67;6;7.91;100;2.69;1;8;3;41.07
3;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;5;35.19;3;58.65;4;7.94;180;1.64;1;8;3;41.07
4;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;2;35.8;6;57.18;48;7.12;227;1.02;80;6.51;2;42.53
5;"Universidade de Brasília (UNB)";DF;Pública;13;33.56;4;57.95;7;7.89;6;3.93;1;8;5;38.13
6;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;13;33.56;5;57.47;5;7.93;46;3.41;1;8;5;38.13
7;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;8;34.58;10;50.49;22;7.61;106;2.61;1;8;9;32.27
8;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;8;34.58;12;48.94;2;7.98;;;120;5.76;7;35.2
9;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;8;34.58;13;48.77;11;7.81;34;3.56;153;5.13;9;32.27
10;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;13;33.56;11;49.43;30;7.46;97;2.73;211;4.04;7;35.2
11;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;27;30.71;7;51.7;29;7.47;4;3.96;1;8;9;32.27
12;"Universidade Federal do Paraná (UFPR)";PR;Pública;13;33.56;14;48.55;12;7.79;267;0.49;1;8;9;32.27
13;"Universidade Federal Fluminense (UFF)";RJ;Pública;13;33.56;15;48.13;10;7.83;302;0.03;1;8;9;32.27
14;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;27;30.71;8;50.94;13;7.78;85;2.89;1;8;9;32.27
15;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;5;35.19;17;43.78;20;7.64;131;2.28;341;1.59;9;32.27
16;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;13;33.56;16;44.09;23;7.59;45;3.42;382;0.81;9;32.27
17;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;50;26.03;9;50.93;8;7.87;93;2.79;1;8;9;32.27
18;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;27;30.71;18;42.03;18;7.68;209;1.25;381;0.83;9;32.27
19;"Universidade Federal do Ceará (UFC)";CE;Pública;8;34.58;20;36.88;31;7.44;13;3.84;1;8;19;17.6
20;"Universidade Estadual de Londrina (UEL)";PR;Pública;27;30.71;19;37;27;7.51;9;3.89;1;8;19;17.6
21;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;27;30.71;23;34.23;25;7.55;108;2.59;81;6.49;19;17.6
22;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;5;35.19;29;28.14;119;5.78;208;1.27;240;3.49;19;17.6
23;"Universidade Federal de Uberlândia (UFU)";MG;Pública;27;30.71;25;32.08;16;7.72;290;0.19;77;6.57;19;17.6
24;"Universidade Federal de Mato Grosso (UFMT)";MT;Pública;50;26.03;22;35.66;69;6.72;51;3.34;1;8;19;17.6
25;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;13;33.56;30;27.11;176;4.71;58;3.25;343;1.55;19;17.6
26;"Universidade Católica de Brasília (UCB)";DF;Privada;27;30.71;28;29.6;97;6.2;221;1.1;176;4.7;19;17.6
27;"Universidade Positivo (UP)";PR;Privada;50;26.03;24;33.49;54;7.01;5;3.95;164;4.93;19;17.6
28;"Universidade São Francisco (USF)";SP;Privada;50;26.03;27;31.17;34;7.38;75;3.02;257;3.17;19;17.6
29;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;96;16.68;21;36.46;3;7.96;84;2.9;1;8;19;17.6
30;"Universidade Federal de Goiás (UFG)";GO;Pública;13;33.56;40;18.16;66;6.78;48;3.38;1;8;;
31;"Universidade Federal de Sergipe (UFS)";SE;Pública;27;30.71;32;19.58;19;7.66;7;3.92;1;8;0;0
32;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;27;30.71;33;19.48;21;7.62;12;3.86;1;8;0;0
33;"Universidade Estadual de Maringá (UEM)";PR;Pública;27;30.71;34;19.24;32;7.42;15;3.82;1;8;0;0
34;"Universidade Paulista (UNIP)";SP;Privada;2;35.8;84;13.85;174;4.75;24;3.7;139;5.4;0;0
35;"Universidade Federal da Bahia (UFBA)";BA;Pública;27;30.71;38;18.42;65;6.8;30;3.62;1;8;0;0
36;"Faculdade Meridional (IMED)";RS;Privada;96;16.68;26;31.82;91;6.31;132;2.27;126;5.64;19;17.6
37;"Universidade Estadual do Ceará (UECE)";CE;Pública;13;33.56;72;14.49;193;4.39;2;3.99;101;6.11;;
38;"Universidade de Fortaleza (UNIFOR)";CE;Privada;8;34.58;99;12.99;125;5.67;90;2.83;187;4.49;;
39;"Universidade Federal do Pará (UFPA)";PA;Pública;27;30.71;53;16.04;38;7.31;249;0.73;1;8;0;0
40;"Universidade Federal do Espírito Santo (UFES)";ES;Pública;27;30.71;55;15.85;9;7.85;;;1;8;;
41;"Universidade Metodista de São Paulo (UMESP)";SP;Privada;27;30.71;70;14.57;68;6.74;167;1.81;106;6.02;;
42;"Universidade Católica de Pernambuco (UNICAP)";PE;Privada;13;33.56;149;10.7;49;7.1;165;1.84;332;1.76;0;0
43;"Universidade Federal de Alagoas (UFAL)";AL;Pública;50;26.03;42;17.97;62;6.85;68;3.12;1;8;;
44;"Universidade São Judas Tadeu (USJT)";SP;Privada;27;30.71;94;13.11;36;7.34;104;2.64;259;3.13;;
45;"Universidade de Pernambuco (UPE)";PE;Pública;50;26.03;43;17.76;102;6.1;27;3.66;1;8;;
46;"Universidade Federal do Amazonas (UFAM)";AM;Pública;50;26.03;45;17.43;101;6.12;53;3.31;1;8;;
47;"Universidade Federal do Piauí (UFPI)";PI;Pública;50;26.03;47;17.25;132;5.54;23;3.71;1;8;0;0
48;"Universidade Estácio de Sá (UNESA)";RJ;Privada;13;33.56;186;9.69;139;5.41;202;1.35;270;2.93;;
49;"Universidade Federal da Paraíba (UFPB)";PB;Pública;50;26.03;48;16.82;40;7.27;187;1.55;1;8;;
50;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;50;26.03;60;15.45;83;6.46;229;0.99;1;8;;
51;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;50;26.03;61;15.36;35;7.36;;;1;8;0;0
52;"Universidade Nove de Julho (UNINOVE)";SP;Privada;50;26.03;62;15.29;53;7.02;155;1.97;91;6.3;;
53;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;50;26.03;63;15.26;47;7.14;63;3.18;163;4.94;;
54;"Universidade Potiguar (UNP)";RN;Privada;27;30.71;159;10.36;221;3.87;64;3.17;249;3.32;;
55;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;27;30.71;164;10.25;182;4.6;205;1.31;195;4.34;0;0
56;"Universidade Estadual do Piauí (UESPI)";PI;Pública;50;26.03;68;14.7;277;2.82;10;3.88;1;8;;
57;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;13;33.56;296;7.07;154;5.13;212;1.22;387;0.72;0;0
58;"Universidade do Ceuma (UNICEUMA)";MA;Privada;50;26.03;70;14.57;207;4.13;119;2.44;1;8;;
59;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;50;26.03;73;14.43;124;5.69;35;3.55;150;5.19;0;0
60;"Universidade Fumec (FUMEC)";MG;Privada;13;33.56;316;6.79;234;3.62;120;2.43;386;0.74;;
61;"Universidade Veiga de Almeida (UVA)";RJ;Privada;50;26.03;76;14.29;43;7.21;129;2.31;172;4.77;0;0
62;"Faculdade Frassinetti do Recife (FAFIRE)";PE;Privada;13;33.56;321;6.53;255;3.23;133;2.26;370;1.04;;
63;"Universidade Federal do Maranhão (UFMA)";MA;Pública;50;26.03;88;13.62;128;5.62;;;1;8;;
64;"Universidade Tiradentes (UNIT)";SE;Privada;27;30.71;212;8.94;185;4.55;166;1.82;289;2.57;;
65;"Universidade da Amazônia (UNAMA)";PA;Privada;27;30.71;219;8.76;236;3.59;124;2.38;277;2.79;0;0
66;"Centro Universitário de Brasília (UNICEUB)";DF;Privada;50;26.03;93;13.31;95;6.24;57;3.26;223;3.81;0;0
67;"Centro Universitário Newton Paiva (NEWTON PAIVA)";MG;Privada;27;30.71;235;8.47;257;3.19;214;1.19;208;4.09;;
67;"Universidade Salvador (UNIFACS)";BA;Privada;27;30.71;235;8.47;259;3.16;161;1.89;244;3.42;0;0
69;"Escola Bahiana de Medicina e Saúde Pública (EBMSP)";BA;Privada;50;26.03;100;12.89;278;2.8;146;2.09;1;8;;
70;"Centro Universitário de Várzea Grande (UNIVAG)";MT;Privada;50;26.03;105;12.61;90;6.33;114;2.51;225;3.77;;
71;"Universidade de Passo Fundo (UPF)";RS;Privada;50;26.03;111;12.13;136;5.47;91;2.81;221;3.85;;
72;"Universidade de Cuiabá (UNIC / PITÁGORAS)";MT;Privada;50;26.03;112;12.12;270;2.95;11;3.87;144;5.3;0;0
73;"Universidade Anhembi Morumbi (UAM)";SP;Privada;50;26.03;113;12.05;26;7.53;176;1.69;275;2.83;;
74;"Universidade de Caxias do Sul (UCS)";RS;Privada;50;26.03;115;11.99;59;6.91;111;2.55;291;2.53;0;0
75;"Faculdade Santo Agostinho (FSA)";PI;Privada;50;26.03;117;11.96;280;2.76;213;1.2;1;8;0;0
76;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;50;26.03;119;11.89;158;5.05;158;1.93;165;4.91;;
77;"Universidade Tuiuti do Paraná (UTP)";PR;Privada;50;26.03;123;11.8;157;5.07;197;1.41;143;5.32;0;0
78;"Universidade Católica Dom Bosco (UCDB)";MS;Privada;50;26.03;128;11.68;78;6.55;301;0.04;155;5.09;;
79;"Faculdade Ruy Barbosa (FRBA)";BA;Privada;27;30.71;302;6.9;293;2.52;74;3.04;354;1.34;;
80;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;50;26.03;140;11.03;210;4.08;92;2.8;205;4.15;;
81;"Faculdade de Ciências Humanas Esuda (FCHE)";PE;Privada;50;26.03;150;10.6;183;4.58;262;0.55;135;5.47;;
82;"Centro Universitário Maurício de Nassau (UNINASSAU)";PE;Privada;50;26.03;152;10.53;192;4.41;171;1.76;194;4.36;;
83;"Universidade do Sagrado Coração (USC)";SP;Privada;50;26.03;153;10.48;142;5.35;37;3.53;340;1.6;;
84;"Universidade Anhanguera (UNIDERP)";MS;Privada;50;26.03;160;10.35;341;1.62;80;2.96;119;5.77;;
85;"Universidade Luterana do Brasil (ULBRA)";RS;Privada;50;26.03;162;10.28;226;3.78;232;0.95;131;5.55;;
86;"Centro Universitário do Instituto de Educação Superior de Brasília (IESB)";DF;Privada;50;26.03;167;10.21;113;5.9;275;0.38;217;3.93;0;0
87;"Centro Universitário Una (UNA)";MG;Privada;50;26.03;169;10.09;165;4.92;175;1.7;241;3.47;;
88;"Faculdade de Ciências Humanas de Olinda (FACHO)";PE;Privada;27;30.71;364;5.2;318;2.05;254;0.66;293;2.49;;
89;"Universidade Norte do Paraná (UNOPAR)";PR;Privada;50;26.03;198;9.36;198;4.3;;;157;5.06;;
90;"Faculdades Integradas São Pedro (FAESA)";ES;Privada;50;26.03;200;9.32;161;5;59;3.23;367;1.09;;
91;"Universidade Federal do Triângulo Mineiro (UFTM)";MG;Pública;96;16.68;39;18.41;84;6.44;3;3.97;1;8;0;0
92;"Universidade Metodista de Piracicaba (UNIMEP)";SP;Privada;50;26.03;214;8.91;50;7.08;207;1.28;396;0.55;;
93;"Centro Universitário do Rio Grande do Norte (UNI-RN)";RN;Privada;96;16.68;41;18.13;67;6.76;49;3.37;1;8;;
94;"Faculdade Pio Décimo (FPD)";SE;Privada;50;26.03;252;8.21;169;4.85;285;0.25;260;3.11;0;0
