Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade Estadual de Campinas (UNICAMP)";SP;Pública;2;35.6;1;61.96;8;7.72;4;3.93;1;8;2;42.31
2;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;59.88;4;7.88;;;1;8;1;44
3;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;35.6;3;59.59;9;7.68;33;3.29;1;8;3;40.62
4;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;5;34.42;4;58.61;6;7.8;6;3.89;1;8;4;38.92
5;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;2;35.6;7;53.15;5;7.84;37;3.2;120;3.19;4;38.92
6;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;9;32.84;6;54.22;11;7.6;42;3.08;1;8;6;35.54
7;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;16;30.07;5;54.55;10;7.64;29;3.37;1;8;6;35.54
8;"Universidade Federal do Paraná (UFPR)";PR;Pública;9;32.84;8;51.27;19;7.28;8;3.84;1;8;8;32.15
9;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;5;34.42;12;46.65;48;6.13;12;3.75;1;8;10;28.77
10;"Universidade de Brasília (UNB)";DF;Pública;9;32.84;10;48.16;14;7.48;5;3.91;1;8;10;28.77
11;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;16;30.07;9;50.87;25;7.05;16;3.67;1;8;8;32.15
12;"Universidade Federal Fluminense (UFF)";RJ;Pública;5;34.42;14;40.9;18;7.32;20;3.58;1;8;14;22
13;"Universidade Federal do Ceará (UFC)";CE;Pública;9;32.84;17;39.3;29;6.89;72;2.41;1;8;14;22
14;"Universidade Federal de Goiás (UFG)";GO;Pública;9;32.84;19;38.99;33;6.73;79;2.26;1;8;14;22
15;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;31;24.13;11;47.56;26;7.01;11;3.78;1;8;10;28.77
16;"Universidade Estadual de Londrina (UEL)";PR;Pública;16;30.07;16;40.44;28;6.93;23;3.51;1;8;14;22
17;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;31;24.13;13;42.07;12;7.56;1;4;156;1.74;10;28.77
18;"Universidade Presbiteriana Mackenzie (MACKENZIE)";SP;Privada;9;32.84;22;32.03;53;5.93;38;3.17;176;0.93;14;22
19;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;31;24.13;18;39.26;22;7.16;86;2.1;1;8;14;22
20;"Universidade Federal de Uberlândia (UFU)";MG;Pública;31;24.13;21;35.61;17;7.36;74;2.37;103;3.88;14;22
21;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;31;24.13;23;30.28;63;5.53;133;1.05;157;1.7;14;22
22;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;31;24.13;24;30.25;110;3.66;81;2.21;140;2.38;14;22
