Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade de São Paulo (USP)";SP;Pública;1;36;1;60;1;8;;;1;8;1;44
2;"Universidade Anhembi Morumbi (UAM)";SP;Privada;1;36;5;54.72;19;7.19;37;2.93;94;3.44;3;41.16
3;"Universidade Federal de Pernambuco (UFPE)";PE;Pública;4;33.3;3;57.26;18;7.24;11;3.7;1;8;5;38.32
4;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;4;33.3;7;51.97;86;4.18;18;3.49;71;4.56;4;39.74
5;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;11;27;2;57.96;5;7.82;7;3.82;1;8;5;38.32
6;"Universidade Federal do Paraná (UFPR)";PR;Pública;11;27;4;57.02;30;6.7;1;4;1;8;5;38.32
7;"Centro Universitário Senac (SENACSP)";SP;Privada;4;33.3;12;49.48;90;4;117;0.54;116;2.36;2;42.58
8;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;11;27;6;54.71;6;7.78;19;3.46;59;5.15;5;38.32
9;"Universidade de Caxias do Sul (UCS)";RS;Privada;11;27;10;50.42;22;7.06;60;2.24;107;2.8;5;38.32
10;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;11;27;11;50.21;13;7.46;17;3.52;1;8;10;31.23
11;"Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)";RS;Privada;4;33.3;15;42.67;24;6.97;31;3.1;136;1.37;10;31.23
12;"Universidade de Brasília (UNB)";DF;Pública;11;27;14;46.78;11;7.55;;;1;8;10;31.23
13;"Universidade Nove de Julho (UNINOVE)";SP;Privada;4;33.3;20;32.6;38;6.34;59;2.27;80;4.12;18;19.87
14;"Universidade Paulista (UNIP)";SP;Privada;4;33.3;21;32.4;91;3.96;14;3.61;63;4.96;18;19.87
15;"Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS)";SP;Privada;11;27;16;37.94;77;4.58;67;2.03;162;0.1;10;31.23
16;"Castelli Escola Superior de Hotelaria (CASTELLI ESH)";RS;Privada;11;27;17;36.35;76;4.63;;;154;0.49;10;31.23
17;"Universidade do Estado do Rio de Janeiro (UERJ)";RJ;Pública;11;27;18;33.08;3;7.91;;;56;5.3;18;19.87
18;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;11;27;19;33;35;6.47;9;3.76;105;2.9;18;19.87
19;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";PR;Pública;11;27;22;31.87;110;3.1;105;0.9;1;8;18;19.87
20;"Universidade Estácio de Sá (UNESA)";RJ;Privada;1;36;27;21.87;93;3.87;78;1.7;92;3.53;23;12.77
21;"Universidade Federal de São Carlos (UFSCAR)";SP;Pública;;;8;51.04;4;7.87;3;3.94;1;8;10;31.23
22;"Universidade Veiga de Almeida (UVA)";RJ;Privada;11;27;26;23.79;79;4.49;43;2.75;87;3.78;23;12.77
23;"Universidade Federal Fluminense (UFF)";RJ;Pública;0;0;9;50.68;10;7.6;6;3.85;1;8;10;31.23
24;"Universidade Federal do Rio Grande do Norte (UFRN)";RN;Pública;0;0;13;48.84;29;6.74;39;2.87;1;8;10;31.23
25;"Centro Universitário do Instituto de Educação Superior de Brasília (IESB)";DF;Privada;11;27;29;21.02;87;4.14;119;0.48;90;3.63;23;12.77
26;"Universidade Vale do Rio Doce (UNIVALE)";MG;Privada;11;27;30;20.77;;;;;1;8;23;12.77
27;"Centro Universitário Estácio do Ceará (FIC)";CE;Privada;11;27;31;19.88;95;3.78;53;2.45;146;0.88;23;12.77
28;"Universidade do Oeste Paulista (UNOESTE)";SP;Privada;11;27;42;15.68;27;6.83;8;3.79;61;5.06;;
29;"Universidade Federal da Paraíba (UFPB)";PB;Pública;11;27;48;15.28;39;6.29;102;0.99;1;8;0;0
30;"Universidade de Fortaleza (UNIFOR)";CE;Privada;4;33.3;101;8.45;59;5.39;100;1.05;123;2.01;0;0
31;"Pontifícia Universidade Católica do Paraná (PUCPR)";PR;Privada;11;27;53;14.52;43;6.11;21;3.4;62;5.01;0;0
32;"Instituto Federal de Educação, Ciência e Tecnologia do Ceará (IFCE)";CE;Pública;11;27;67;12.27;84;4.27;;;1;8;;
33;"Universidade Regional de Blumenau (FURB)";SC;Pública;11;27;80;10.2;41;6.2;34;3.02;144;0.98;0;0
34;"Universidade do Sagrado Coração (USC)";SP;Privada;11;27;89;9.49;33;6.56;129;0.18;108;2.75;0;0
35;"Universidade São Judas Tadeu (USJT)";SP;Privada;11;27;94;9.04;23;7.01;98;1.1;145;0.93;;
36;"Centro Universitário Facitec (FACITEC)";DF;Privada;11;27;99;8.51;80;4.45;81;1.61;114;2.45;;
37;"Centro Universitário Anhanguera de São Paulo";SP;Privada;11;27;120;6.86;125;2.43;115;0.6;86;3.83;;
38;"Centro Universitário de Brasília (UNICEUB)";DF;Privada;11;27;146;5.12;65;5.12;;;;;;
39;"Universidade Federal de Ouro Preto (UFOP)";MG;Pública;0;0;23;31.86;14;7.42;12;3.67;1;8;23;12.77
40;"Universidade Federal de Juiz de Fora (UFJF)";MG;Pública;;;24;30.59;25;6.92;38;2.9;1;8;23;12.77
41;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;0;0;25;28.73;65;5.12;40;2.84;1;8;23;12.77
42;"Universidade Salvador (UNIFACS)";BA;Privada;11;27;;;;;;;;;;
43;"Universidade Potiguar (UNP)";RN;Privada;0;0;28;21.27;146;1.48;74;1.82;58;5.2;23;12.77
44;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;;;32;19.46;7;7.73;10;3.73;1;8;0;0
45;"Universidade do Estado do Amazonas (UEA)";AM;Pública;37;3.6;44;15.61;96;3.73;5;3.88;1;8;0;0
46;"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)";MG;Pública;;;33;19.19;9;7.64;16;3.55;1;8;;
47;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;0;0;34;18.94;12;7.51;20;3.43;1;8;0;0
48;"Universidade Estadual de Ponta Grossa (UEPG)";PR;Pública;;;35;18.43;28;6.79;13;3.64;1;8;;
49;"Centro Universitário de Maringá (UNICESUMAR)";PR;Privada;;;36;17.46;17;7.28;62;2.18;1;8;0;0
50;"Universidade do Estado do Rio Grande do Norte (UERN)";RN;Pública;0;0;37;16.4;60;5.35;33;3.05;1;8;;
51;"Universidade Federal de Alagoas (UFAL)";AL;Pública;;;38;16.37;42;6.16;61;2.21;1;8;0;0
52;"Faculdade de Ensino Superior e Formação Integral (FAEF)";SP;Privada;;;39;16.14;37;6.38;76;1.76;1;8;;
53;"Faculdade Gama e Souza (FGS)";RJ;Privada;;;40;16.1;32;6.61;85;1.49;1;8;;
54;"Faculdade São Sebastião";SP;Privada;0;0;41;15.78;31;6.65;97;1.13;1;8;;
55;"Universidade Federal do Maranhão (UFMA)";MA;Pública;0;0;43;15.65;81;4.4;26;3.25;1;8;0;0
55;"Faculdade Metropolitana de Manaus (FAMETRO)";AM;Privada;37;3.6;69;12.05;20;7.15;114;0.63;77;4.27;;
